AccSpeciesName,LA_mean,LDMC_mean,SLA_mean,percent_c,percent_s,percent_r,C : S : R ,Strategy class,S (%),C (%),R (%),Red,Green,Blue,Colour values in SigmaPlot 
Acalypha virginica,1255.989808,24.556636462531873,28.64025148,26.63050125,31.88981034,41.4796884,27 : 32 : 41 %,CSR,31.88981034,26.63050125,41.4796884,68,81,106,"@rgb(68,81,106)"
Acer pseudoplatanus,14400.46324,34.73366442187571,16.08470059,55.80858805,33.41493459,10.77647736,56 : 33 : 11 %,C/CSR,33.41493459,55.80858805,10.77647736,142,85,27,"@rgb(142,85,27)"
Acer rubrum,4407.158471,28.843084847012985,20.41624186,42.20800793,35.32236588,22.46962618,42 : 35 : 22 %,CS/CSR,35.32236588,42.20800793,22.46962618,108,90,57,"@rgb(108,90,57)"
Aegilops geniculata,31.88,26.596285714285717,22.73316667,0.808216197,53.54315791,45.6486259,1 : 54 : 46 %,SR,53.54315791,0.808216197,45.6486259,2,137,116,"@rgb(2,137,116)"
Agropyron cristatum,233.1507143,50.11845280022338,8.383566649,8.87469993,91.12530007,0,9 : 91 : 0 %,S,91.12530007,8.87469993,0,23,232,0,"@rgb(23,232,0)"
Agrostis gigantea,302.5995588,29.484272940472184,26.97879325,11.21252612,48.27423752,40.51323636,11 : 48 : 41 %,SR/CSR,48.27423752,11.21252612,40.51323636,29,123,103,"@rgb(29,123,103)"
Agrostis scabra,94.4305,49.54,11.62768319,4.047916556,89.25091693,6.701166518,4 : 89 : 7 %,S,89.25091693,4.047916556,6.701166518,10,228,17,"@rgb(10,228,17)"
Agrostis stolonifera,209.3907496,34.94353439518653,27.61413035,7.602161843,55.64967357,36.74816459,8 : 56 : 37 %,SR,55.64967357,7.602161843,36.74816459,19,142,94,"@rgb(19,142,94)"
Aira caryophyllea,4.173382353,23.90812291589667,20.41954209,0,50.97624763,49.02375237,0 : 51 : 49 %,SR,50.97624763,0,49.02375237,0,130,125,"@rgb(0,130,125)"
Ajuga reptans,1192.002813,17.279624565040653,24.611317,39.77181374,5.232363569,54.99582269,40 : 5 : 55 %,CR,5.232363569,39.77181374,54.99582269,101,13,140,"@rgb(101,13,140)"
Alliaria petiolata,3650.707479,15.768786000874298,51.496581,43.27513292,0,56.72486708,43 : 0 : 57 %,CR,0,43.27513292,56.72486708,110,0,145,"@rgb(110,0,145)"
Allium vineale,879,17.049999999999997,17.98229241,45.32284161,4.842771913,49.83438647,45 : 5 : 50 %,CR,4.842771913,45.32284161,49.83438647,116,12,127,"@rgb(116,12,127)"
Alopecurus pratensis,1666.868889,32.52740764459777,25.46162291,25.4538121,44.48735541,30.0588325,25 : 44 : 30 %,S/CSR,44.48735541,25.4538121,30.0588325,65,113,77,"@rgb(65,113,77)"
Amaranthus hybridus,1017.249854,13.675654543964235,36.07947314,31.91117268,0,68.08882732,32 : 0 : 68 %,R/CR,0,31.91117268,68.08882732,81,0,174,"@rgb(81,0,174)"
Amaranthus retroflexus,1486.968,20.432777777777776,19.0968898,40.54678767,23.51626678,35.93694556,41 : 24 : 36 %,CR/CSR,23.51626678,40.54678767,35.93694556,103,60,92,"@rgb(103,60,92)"
Ambrosia artemisiifolia,1622.362203,24.005618432666616,22.90600683,32.8668985,32.00898971,35.12411179,33 : 32 : 35 %,CSR,32.00898971,32.8668985,35.12411179,84,82,90,"@rgb(84,82,90)"
Ambrosia psilostachya,510.9640155,23.17872108839582,18.64905647,22.74387644,40.18740565,37.0687179,23 : 40 : 37 %,SR/CSR,40.18740565,22.74387644,37.0687179,58,102,95,"@rgb(58,102,95)"
Ammi majus,6550,14.280533333333334,34.44333333,57.81420811,0,42.18579189,58 : 0 : 42 %,CR,0,57.81420811,42.18579189,147,0,108,"@rgb(147,0,108)"
Anacamptis pyramidalis,1316.906667,11.209458137161892,32.55837657,37.13833411,0,62.86166589,37 : 0 : 63 %,R/CR,0,37.13833411,62.86166589,95,0,160,"@rgb(95,0,160)"
Anagallis arvensis,51.9014656,14.373485644638079,31.09190324,4.171700952,0,95.82829905,4 : 0 : 96 %,R,0,4.171700952,95.82829905,11,0,244,"@rgb(11,0,244)"
Anaphalis margaritacea,808.3333333,29.4,21.77770686,20.91113542,47.41750182,31.67136276,21 : 47 : 32 %,S/CSR,47.41750182,20.91113542,31.67136276,53,121,81,"@rgb(53,121,81)"
Andropogon virginicus,1051.103147,39.57108127165107,18.50917089,19.98541017,59.33645218,20.67813765,20 : 59 : 21 %,S/CSR,59.33645218,19.98541017,20.67813765,51,151,53,"@rgb(51,151,53)"
Anemone nemorosa,2476.152378,21.330150113133847,31.64620898,37.31755159,19.54521891,43.1372295,37 : 20 : 43 %,CR/CSR,19.54521891,37.31755159,43.1372295,95,50,110,"@rgb(95,50,110)"
Anisotome aromatica,212.3388287,25.803514197011662,10.83978404,17.32217471,74.16847888,8.509346413,17 : 74 : 9 %,S/CS,74.16847888,17.32217471,8.509346413,44,189,22,"@rgb(44,189,22)"
Antennaria neglecta,240.8116667,24.970803016666668,17.71979097,14.04083723,50.67348393,35.28567884,14 : 51 : 35 %,SR/CSR,50.67348393,14.04083723,35.28567884,36,129,90,"@rgb(36,129,90)"
Aphanes arvensis,46.09634333,30.58988452715236,26.89148671,1.746071517,55.01367788,43.2402506,2 : 55 : 43 %,SR,55.01367788,1.746071517,43.2402506,4,140,110,"@rgb(4,140,110)"
Apocynum androsaemifolium,3482.022143,29.637549126879147,27.81735855,35.05439978,34.98565453,29.95994569,35 : 35 : 30 %,CSR,34.98565453,35.05439978,29.95994569,89,89,76,"@rgb(89,89,76)"
Apocynum cannabinum,1588.690909,31.44659151590559,16.21230219,29.83320592,50.86950467,19.2972894,30 : 51 : 19 %,S/CSR,50.86950467,29.83320592,19.2972894,76,130,49,"@rgb(76,130,49)"
Arctium tomentosum,57062.62859,14.043512706405878,34.68879533,80.75952175,0,19.24047825,81 : 0 : 19 %,C/CR,0,80.75952175,19.24047825,206,0,49,"@rgb(206,0,49)"
Arenaria serpyllifolia,8.105284604,34.94370103637576,19.45959039,0,69.42302182,30.57697818,0 : 69 : 31 %,S/SR,69.42302182,0,30.57697818,0,177,78,"@rgb(0,177,78)"
Aristida purpurascens,369.8688,51.25768866009847,13.40295851,10.44304644,79.188127,10.36882656,10 : 79 : 10 %,S,79.188127,10.44304644,10.36882656,27,202,26,"@rgb(27,202,26)"
