site_name,New_taxon,local_provenance,new_provenance
Ainsdale Dune Slacks,Lotus_corniculatus,NAT,NAT
Ainsdale Dune Slacks,Cirsium_palustre,NAT,NAT
Ainsdale Dune Slacks,Ranunculus_repens,NAT,NAT
Ainsdale Dune Slacks,Cirsium_arvense,NAT,NAT
Ainsdale Dune Slacks,Linum_catharticum,NAT,NAT
Ainsdale Dune Slacks,Jacobaea_vulgaris,NAT,NAT
Algaida,Echium_vulgare,NAT,NAT
Algaida,Jacobaea_vulgaris,NAT,NAT
Algaida,Plantago_coronopus,NAT,NAT
Algaida,Trifolium_pratense,NAT,NAT
Algaida,Lotus_corniculatus,NAT,NAT
Algaida,Ranunculus_repens,NAT,NAT
Algaida,Hypochaeris_radicata,NAT,NAT
Bad Lauchstaedt,Tragopogon_orientalis,NAT,NAT
Bad Lauchstaedt,Picris_hieracioides,NAT,NAT
Bad Lauchstaedt,Veronica_arvensis,NAT,NAT
Bad Lauchstaedt,Cirsium_arvense,NAT,NAT
Bad Lauchstaedt,Elymus_repens,NAT,NAT
Bad Lauchstaedt,Cerastium_fontanum,NAT,NAT
Bad Lauchstaedt,Achillea_millefolium,NAT,NAT
Bad Lauchstaedt,Daucus_carota,NAT,NAT
Bad Lauchstaedt,Arenaria_serpyllifolia,NAT,NAT
Bad Lauchstaedt,Rosa_canina,NAT,NAT
Bad Lauchstaedt,Hypochaeris_radicata,NAT,NAT
Bad Lauchstaedt,Echium_vulgare,NAT,NAT
Bad Lauchstaedt,Lactuca_serriola,NAT,NAT
Bad Lauchstaedt,Cirsium_vulgare,NAT,NAT
Bad Lauchstaedt,Knautia_arvensis,NAT,NAT
Bayreuth DRAGNet,Lotus_corniculatus,NAT,NAT
Bayreuth DRAGNet,Taraxacum_campylodes,NAT,NAT
Bayreuth DRAGNet,Anthoxanthum_odoratum,NAT,NAT
Bayreuth DRAGNet,Centaurea_jacea,NAT,NAT
Bayreuth DRAGNet,Ranunculus_acris,NAT,NAT
Bayreuth DRAGNet,Trifolium_pratense,NAT,NAT
Bayreuth DRAGNet,Hypochaeris_radicata,NAT,NAT
Bayreuth DRAGNet,Elymus_repens,NAT,NAT
Bayreuth DRAGNet,Cerastium_fontanum,NAT,NAT
Bayreuth DRAGNet,Knautia_arvensis,NAT,NAT
Bayreuth DRAGNet,Veronica_arvensis,NAT,NAT
Bayreuth DRAGNet,Ranunculus_repens,NAT,NAT
Bayreuth DRAGNet,Fragaria_vesca,NA,NAT
Bayreuth DRAGNet,Lactuca_serriola,NAT,NAT
Bayreuth DRAGNet,Achillea_millefolium,NAT,NAT
Bayreuth DRAGNet,Cirsium_vulgare,NAT,NAT
Bayreuth DRAGNet,Erigeron_canadensis,INT,INT
Blandy Experimental Farm,Verbascum_thapsus,INT,INT
Blandy Experimental Farm,Cirsium_arvense,INT,INT
Blandy Experimental Farm,Allium_vineale,INT,INT
Blandy Experimental Farm,Cirsium_vulgare,INT,INT
Blandy Experimental Farm,Centaurea_stoebe,INT,INT
Blandy Experimental Farm,Anthoxanthum_odoratum,INT,INT
Blandy Experimental Farm,Lactuca_serriola,NA,INT
Bladen Lakes State Forest,Pinus_palustris,NAT,NAT
Caracoles,Plantago_coronopus,NAT,NAT
Cary IES,Elymus_repens,INT,INT
Cary IES,Anthoxanthum_odoratum,INT,INT
Cary IES,Achillea_millefolium,NAT,NAT
Cary IES,Centaurea_stoebe,INT,INT
Cary IES,Vincetoxicum_nigrum,INT,INT
