site_ID,site_name,site_code,continent,country,state,first_year,latitude,longitude,habitat,elevation,slope,aspect,invaded,grazed,burned,managed,agricultural,anthropogenic,experiment_type_ID,region_ID,year_last_mowed,year_last_plowed,year_last_cropped,mowed,year_last_burned,year_restored,mowing_frequency,active,hide_site,burn_frequency
251,Kellogg Biological Station (KBS),kell_dn.us,North America,US,Michigan,2020,42.41639,-85.36917,NULL,287,1,90,0,0,0,0,0,0,6,0,NULL,NULL,NULL,0,NULL,NULL,NULL,1,0,NULL
253,Bayreuth DRAGNet,bayr_dn.de,Europe,DE,NULL,2020,49.922,11.5838,mesic grassland,365,0,180,0,0,0,1,0,1,6,0,NULL,NULL,NULL,0,NULL,NULL,NULL,1,0,NULL
269,Sandflats,sdft_dn.us,North America,US,Utah,2021,38.58181921,-109.4947242,NULL,1450,0,180,0,1,0,1,0,0,6,0,NULL,NULL,NULL,0,NULL,NULL,NULL,1,0,NULL
308,Abeokuta,abeo_dn.ng,Africa,NG,NULL,2022,7.226472,3.423556,pasture,74,0.05,296.56,0,0,0,0,0,1,6,0,NULL,2015,2015,0,NULL,NULL,NULL,1,0,NULL
309,Ainsdale Dune Slacks,ains_dn.uk,Europe,UK,NULL,2021,53.59,-3.07,Sand dune,7,0,0,0,1,0,1,0,0,7,0,NULL,NULL,NULL,0,NULL,NULL,NULL,1,0,NULL
310,Algaida,alga_dn.es,Europe,ES,NULL,2020,36.54002,-6.20391,Annual Grassland,0,0,0,0,1,0,1,0,0,6,0,NULL,NULL,NULL,0,NULL,NULL,NULL,1,0,NULL
311,Archbold Biological Station,arch_dn.us,North America,US,Florida,2020,27.16998,-81.21846,Mixed prairie,10.2,0,0,0,0,1,1,0,0,6,0,NULL,NULL,NULL,0,2020,NULL,NULL,1,0,NULL
312,Bad Lauchstaedt,badlau_dn.de,Europe,DE,NULL,2020,51.383333,11.883333,old field,118,0,0,0,0,0,1,1,1,6,0,2021,2013,2013,1,NULL,NULL,Twice annually,1,0,NULL
313,Bladen Lakes State Forest,blsf_dn.us,North America,US,North Carolina,2019,34.71954,-78.49034,savanna,27.72,0,0,0,0,1,1,0,0,6,0,NULL,NULL,NULL,0,NULL,NULL,NULL,1,0,NULL
314,Blandy Experimental Farm,blan_dn.us,North America,US,Virginia,2021,39.06263,-78.06261,Old field,174,0,0,0,0,0,0,1,0,6,0,NULL,2003,NULL,0,NULL,NULL,NULL,1,0,NULL
315,Cass,cass_dn.nz,Oceania,NZ,NULL,2022,-43.0368,171.7528,short tussock grassland,580,0,0,0,0,0,0,0,1,6,0,NULL,NULL,NULL,0,NULL,NULL,NULL,1,0,NULL
316,Cedar Creek LTER,cedr_dn.us,North America,US,Minnesota,2021,45.404164,-93.200312,tallgrass prairie,282,0,0,0,0,0,0,1,0,6,0,NULL,1942,1942,0,NULL,NULL,NULL,1,0,NULL
317,CEREEP - Ecotron IDF,cereep_dn.fr,Europe,FR,NULL,2022,48.282472,2.666167,Grassland old field,83,0,0,0,0,0,1,1,0,6,0,2021,NULL,NULL,1,NULL,NULL,0,1,0,0
318,Agroscope Changins,chan_dn.ch,Europe,CH,NULL,2020,46.403333,6.228889,Permanent grassland,430,10,0,0,0,0,1,0,0,6,0,2021,NULL,NULL,1,NULL,NULL,Twice annually,1,0,0
319,Churning Rapids,chur_dn.us,North America,US,Michigan,2021,47.1790273,-88.6147752,old field,212,4,283,0,1,0,1,0,1,7,0,NULL,NULL,NULL,1,NULL,1969,NULL,1,0,NULL
320,Domaninek,doma_dn.cz,Europe,CZ,NULL,2022,49.5388,16.2484,mesic grassland,530,2,315,0,0,0,1,0,1,6,0,2021,NULL,NULL,1,NULL,NULL,Twice annually,1,0,NULL
321,Fowlers Gap,fowl_dn.au,Australia,AU,NULL,0,-31.07276308,141.7651157,arid grassland,162,0,0,0,0,0,0,0,0,6,0,NULL,NULL,NULL,0,NULL,NULL,NULL,1,0,NULL
322,GCE LTER - Sapelo Island,sape_dn.us,North America,US,Georgia,2021,31.4215,-81.2905,salt marsh,0,0,0,0,0,0,0,0,0,6,0,NULL,NULL,NULL,0,NULL,NULL,NULL,1,0,NULL
323,Hobcaw Barony,hoca_dn.us,North America,US,South Carolina,2022,33.323056,-79.218333,old field,4,0,0,0,0,0,1,1,1,6,0,2021,2015,2010,1,NULL,2015,annually,1,0,0
324,Hulun Buir,hulu_dn.cn,Asia,CN,NULL,2019,49.333333,119.95,Temperate grassland,638.5,0,0,0,0,0,1,0,0,6,0,2016,NULL,NULL,0,NULL,NULL,NULL,1,0,NULL
325,Jena,jena_dn.de,Europe,DE,NULL,2020,50.938383,11.52825,mesic grassland,320,0,0,0,0,0,1,0,1,6,0,2021,NULL,NULL,1,NULL,NULL,Twice annually,1,0,NULL
326,Kniezenberg,kzbg_dn.at,Europe,AT,NULL,2021,46.9626,15.2747,pasture,400,2.5,170.7,0,0,0,1,0,1,6,0,2021,NULL,NULL,1,NULL,NULL,Annually,1,0,NULL
327,LSU Botanical Garden,lsbg_dn.us,North America,US,Louisiana,2021,30.414525,-91.1182444,cajun prairie,16.5,0,0,0,0,0,1,0,1,6,0,2020,NULL,NULL,1,NULL,1998,Annually,1,0,NULL
328,Lublin,lubl_dn.pl,Europe,PL,NULL,2021,51.145515,22.151615,old field,163,0,0,0,0,0,1,1,0,6,0,2021,2010,2009,1,NULL,NULL,Annually,1,0,NULL
329,Meranges,mera_dn.es,Europe,ES,NULL,0,42.434,1.777,montane grassland,1706,10,70,0,1,0,1,0,0,6,0,NULL,NULL,NULL,0,NULL,NULL,NULL,1,0,NULL
