Taxon,Number,Net reproductive rate,Per capita reproduction,Age at first reproduction,Mean life expectancy,Maximum longevity,Population growth rate,Reactivity,First step attenuation
Acer saccharum,Number of COMPADRE matrices,6,7,6,1,7,5,7,7
Acer saccharum,Number of DRAGNet sites,1,1,1,1,1,1,1,1
Agrimonia eupatoria,Number of COMPADRE matrices,4,4,4,4,4,4,4,4
Agrimonia eupatoria,Number of DRAGNet sites,2,2,2,2,2,2,2,2
Ailanthus altissima,Number of COMPADRE matrices,1,0,1,1,1,1,0,1
Ailanthus altissima,Number of DRAGNet sites,1,0,1,1,1,1,0,1
Allium vineale,Number of COMPADRE matrices,1,1,1,1,1,1,1,1
Allium vineale,Number of DRAGNet sites,1,1,1,1,1,1,1,1
Andropogon gerardii,Number of COMPADRE matrices,8,8,8,8,8,8,8,8
Andropogon gerardii,Number of DRAGNet sites,4,4,4,4,4,4,4,4
Arenaria serpyllifolia,Number of COMPADRE matrices,16,16,16,16,16,10,16,16
Arenaria serpyllifolia,Number of DRAGNet sites,4,4,4,4,4,4,4,4
Armeria maritima,Number of COMPADRE matrices,1,1,1,1,1,1,1,1
Armeria maritima,Number of DRAGNet sites,1,1,1,1,1,1,1,1
Carduus nutans,Number of COMPADRE matrices,8,8,8,8,8,6,8,8
Carduus nutans,Number of DRAGNet sites,1,1,1,1,1,1,1,1
Centaurea jacea,Number of COMPADRE matrices,4,4,4,4,4,4,4,4
Centaurea jacea,Number of DRAGNet sites,3,3,3,3,3,3,3,3
Cerastium fontanum,Number of COMPADRE matrices,1,1,1,1,1,0,1,1
Cerastium fontanum,Number of DRAGNet sites,12,12,12,12,12,0,12,12
Cirsium arvense,Number of COMPADRE matrices,1,1,1,1,1,0,1,1
Cirsium arvense,Number of DRAGNet sites,10,10,10,10,10,0,10,10
Cirsium palustre,Number of COMPADRE matrices,4,4,4,4,4,4,4,4
Cirsium palustre,Number of DRAGNet sites,1,1,1,1,1,1,1,1
Cirsium vulgare,Number of COMPADRE matrices,7,7,7,7,7,7,7,7
Cirsium vulgare,Number of DRAGNet sites,11,11,11,11,11,11,11,11
Cytisus scoparius,Number of COMPADRE matrices,20,17,20,20,20,20,19,20
Cytisus scoparius,Number of DRAGNet sites,1,1,1,1,1,1,1,1
Daucus carota,Number of COMPADRE matrices,1,0,1,1,1,1,0,1
Daucus carota,Number of DRAGNet sites,8,0,8,8,8,8,0,8
Echium vulgare,Number of COMPADRE matrices,1,1,1,1,1,1,1,1
Echium vulgare,Number of DRAGNet sites,2,2,2,2,2,2,2,2
Elymus repens,Number of COMPADRE matrices,1,1,1,1,1,0,0,1
Elymus repens,Number of DRAGNet sites,10,10,10,10,10,0,0,10
Erigeron canadensis,Number of COMPADRE matrices,1,1,1,1,1,0,1,1
Erigeron canadensis,Number of DRAGNet sites,7,7,7,7,7,0,7,7
Knautia arvensis,Number of COMPADRE matrices,1,1,1,1,1,1,1,1
Knautia arvensis,Number of DRAGNet sites,5,5,5,5,5,5,5,5
Lactuca serriola,Number of COMPADRE matrices,1,1,1,1,1,0,1,1
Lactuca serriola,Number of DRAGNet sites,9,9,9,9,9,0,9,9
Linum catharticum,Number of COMPADRE matrices,1,1,1,1,1,0,1,1
Linum catharticum,Number of DRAGNet sites,2,2,2,2,2,0,2,2
Myosotis ramosissima,Number of COMPADRE matrices,15,15,15,15,15,2,15,15
Myosotis ramosissima,Number of DRAGNet sites,2,2,2,2,2,2,2,2
Picris hieracioides,Number of COMPADRE matrices,1,1,1,1,1,1,1,1
Picris hieracioides,Number of DRAGNet sites,4,4,4,4,4,4,4,4
Pimpinella saxifraga,Number of COMPADRE matrices,3,3,3,3,3,3,3,3
Pimpinella saxifraga,Number of DRAGNet sites,1,1,1,1,1,1,1,1
Plantago coronopus,Number of COMPADRE matrices,42,42,42,42,42,42,42,42
Plantago coronopus,Number of DRAGNet sites,2,2,2,2,2,2,2,2
Plantago media,Number of COMPADRE matrices,6,6,6,6,6,6,6,6
Plantago media,Number of DRAGNet sites,3,3,3,3,3,3,3,3
Poa alpina,Number of COMPADRE matrices,2,2,2,2,2,2,2,2
Poa alpina,Number of DRAGNet sites,1,1,1,1,1,1,1,1
Potentilla recta,Number of COMPADRE matrices,2,1,1,2,2,2,2,2
Potentilla recta,Number of DRAGNet sites,2,2,2,2,2,2,2,2
Primula elatior,Number of COMPADRE matrices,3,3,3,3,3,3,3,3
Primula elatior,Number of DRAGNet sites,1,1,1,1,1,1,1,1
Primula veris,Number of COMPADRE matrices,7,7,7,7,7,7,7,7
Primula veris,Number of DRAGNet sites,1,1,1,1,1,1,1,1
Ranunculus acris,Number of COMPADRE matrices,2,2,2,2,2,2,2,2
Ranunculus acris,Number of DRAGNet sites,9,9,9,9,9,9,9,9
Ratibida columnifera,Number of COMPADRE matrices,30,30,30,30,30,22,30,30
Ratibida columnifera,Number of DRAGNet sites,1,1,1,1,1,1,1,1
Salsola kali,Number of COMPADRE matrices,1,0,1,1,1,1,0,1
Salsola kali,Number of DRAGNet sites,2,0,2,2,2,2,0,2
Sphaeralcea coccinea,Number of COMPADRE matrices,36,36,36,36,36,33,36,36
Sphaeralcea coccinea,Number of DRAGNet sites,1,1,1,1,1,1,1,1
Stenaria nigricans,Number of COMPADRE matrices,30,30,30,30,30,22,30,30
Stenaria nigricans,Number of DRAGNet sites,1,1,1,1,1,1,1,1
Taraxacum campylodes,Number of COMPADRE matrices,2,1,1,2,2,2,2,2
Taraxacum campylodes,Number of DRAGNet sites,2,2,2,2,2,2,2,2
Thymus vulgaris,Number of COMPADRE matrices,2,2,0,2,2,2,2,2
Thymus vulgaris,Number of DRAGNet sites,1,1,0,1,1,1,1,1
Verbascum thapsus,Number of COMPADRE matrices,1,0,1,1,1,0,0,1
Verbascum thapsus,Number of DRAGNet sites,7,0,7,7,7,0,0,7
Veronica arvensis,Number of COMPADRE matrices,17,17,17,17,17,16,17,17
Veronica arvensis,Number of DRAGNet sites,9,9,9,9,9,9,9,9
