Taxon,Lat,Lon,Continent,MatrixID,Country,Ecoregion,DOI_ISBN
Allium_vineale,38.5,-90.5,N America,238263,USA,TBM,10.1890/12-1310.1
Knautia_arvensis,63.741984,11.404067,Europe,238805,NOR,TUN,10.1016/j.flora.2016.04.007
Andropogon_gerardii,39.083333,-96.583333,N America,239112,USA,TGS,10.1674/0003-0031-174.1.14
Andropogon_gerardii,39.083333,-96.583333,N America,239114,USA,TGS,10.1674/0003-0031-174.1.14
Andropogon_gerardii,39.083333,-96.583333,N America,239115,USA,TGS,10.1674/0003-0031-174.1.14
Andropogon_gerardii,39.083333,-96.583333,N America,239117,USA,TGS,10.1674/0003-0031-174.1.14
Andropogon_gerardii,39.083333,-96.583333,N America,239118,USA,TGS,10.1674/0003-0031-174.1.14
Andropogon_gerardii,39.083333,-96.583333,N America,239119,USA,TGS,10.1674/0003-0031-174.1.14
Andropogon_gerardii,39.083333,-96.583333,N America,239120,USA,TGS,10.1674/0003-0031-174.1.14
Andropogon_gerardii,39.083333,-96.583333,N America,239121,USA,TGS,10.1674/0003-0031-174.1.14
Carduus_nutans,38.508333,-90.571389,N America,239344,USA,TGS,10.1002/ecy.2681
Cirsium_vulgare,NA,NA,N America,239563,USA,NA,10.1007/s00442-013-2876-4
Cirsium_vulgare,NA,NA,N America,239564,USA,NA,10.1007/s00442-013-2876-4
Cirsium_vulgare,NA,NA,N America,239565,USA,NA,10.1007/s00442-013-2876-4
Cirsium_vulgare,NA,NA,N America,239566,USA,NA,10.1007/s00442-013-2876-4
Potentilla_recta,38.529722,-90.559167,N America,240067,USA,TGS,10.1002/ecy.2681
Verbascum_thapsus,38.528333,-90.560556,N America,240263,USA,TGS,10.1002/ecy.2681
Arenaria_serpyllifolia,50.516667,13.983333,Europe,240791,CZE,TBM,10.1111/j.1654-1103.2007.tb02519.x
Arenaria_serpyllifolia,50.516667,13.983333,Europe,240792,CZE,TBM,10.1111/j.1654-1103.2007.tb02519.x
Arenaria_serpyllifolia,50.516667,13.983333,Europe,240793,CZE,TBM,10.1111/j.1654-1103.2007.tb02519.x
Arenaria_serpyllifolia,50.516667,13.983333,Europe,240794,CZE,TBM,10.1111/j.1654-1103.2007.tb02519.x
Arenaria_serpyllifolia,50.516667,13.983333,Europe,240795,CZE,TBM,10.1111/j.1654-1103.2007.tb02519.x
