MatrixID,SpeciesAuthor,SpeciesAccepted,Family,Class,Kingdom,Authors,DOI_ISBN,YearPublication,Country,Continent,Ecoregion,MatrixPopulation,MatrixTreatment,MatrixStartYear,MatrixStartMonth,MatrixStartSeason,MatrixEndYear,MatrixEndMonth,MatrixEndSeason,MatrixComposite,Lat,Lon,MatrixSplit,MatrixFec,MatrixDimension,OrganismType,DRAGnet,T_generation,R0,percapita_repro,Lmean,age_repro,Lambda,Reactivity,FirstStepAtt,Lmax
238259,Abies_balsamea,Abies balsamea,Pinaceae,Pinopsida,Plantae,Silvertown; Dodd,10.1086/303238,1999,USA,N America,BOR,Whiteface Mountain (New York),Unmanipulated,1997,7,Summer,1997,8,Summer,Individual,44.366667,-73.9,Divided,NA,9,Tree,FALSE,Inf,0,NA,1.1267605633802815,NA,0.077,1.5194805194805194,0,2
238262,Agave_angustifolia,Agave vivipara,Asparagaceae,Liliopsida,Plantae,Arias-Medellín; Bonfil; Valverde; ,10.17129/botsci.525,2016,MEX,N America,TSC,Xochicalco,Grazing,2009,5,Spring,2010,5,Spring,Mean,NA,NA,Divided,NA,6,Succulent,FALSE,11.121110015124707,9.846932836859507,44.434,1.7195403945093013,11.069098042537577,1.2109181836636491,37.66315562461488,0.057807373730415106,25
238263,Allium_vineale,Allium vineale,Amaryllidaceae,Liliopsida,Plantae,Burns; Pardini; Schutzenhofer; Chung; Seidler; Knight,10.1890/12-1310.1,2013,USA,N America,TBM,Tyson Research Center,Unmanipulated,2007,7,Summer,2008,7,Summer,Individual,38.5,-90.5,Divided,NA,3,Herbaceous perennial,TRUE,2.1458431865094867,1.4061237821153136,10.348742999999999,1.1811322636765564,2.0101010101010104,1.170906773884173,8.971770626240456,0.1305458328616013,3
238265,Araucaria_cunninghamii_2,Araucaria cunninghamii,Araucariaceae,Pinopsida,Plantae,Enright,10.1111/j.1442-9993.1982.tb01304.x,1982,PNG,Oceania,TMB,Bulolo (site 20); constant production,Unmanipulated,1975,NA,NA,1976,NA,NA,Mean,-7.204444,146.631667,Divided,NA,11,Tree,FALSE,103.5816044315942,21.737274114291694,15643.37599114659,1.4597310155047507,88.88781237033112,1.021226755335405,22118.492178146415,0.019094681859951414,6
238266,Araucaria_cunninghamii_2,Araucaria cunninghamii,Araucariaceae,Pinopsida,Plantae,Enright,10.1111/j.1442-9993.1982.tb01304.x,1982,PNG,Oceania,TMB,Bulolo (site 20); constantly increasing production,Unmanipulated,1975,NA,NA,1976,NA,NA,Mean,-7.204444,146.631667,Divided,NA,11,Tree,FALSE,123.59171847473753,19.06237286104021,10389.993914185448,1.4597310155047507,88.88781237033112,1.0171395808891943,46208.969627267135,0.019171410066406904,6
238271,Ascophyllum_nodosum_3,Ascophyllum nodosum,Fucaceae,Phaeophyceae,Chromalveolata,Aberg,10.3354/meps063281,1990,SWE,Europe,TSS,Göteborg,Unmanipulated,1985,NA,NA,1988,NA,NA,Mean,57.633333,11.75,Divided,Yes,5,Algae,FALSE,8.102703045844786,0.007213757020791172,1.8314103876912315,1.3273620922488847,2.2993762993762994,0.401266153313386,154.217343000446,0.6172960214926178,4
238273,Ascophyllum_nodosum_3,Ascophyllum nodosum,Fucaceae,Phaeophyceae,Chromalveolata,Aberg,10.3354/meps063281,1990,SWE,Europe,TSS,Göteborg,Unmanipulated,1985,NA,NA,1988,NA,NA,Mean,57.633333,11.75,Divided,Yes,5,Algae,FALSE,11.909344014411024,9.705790909781936e-4,0.17142159141790048,1.1836699778604824,2.168770453482936,0.16235469401599628,378.99982118125524,0.5869864162388209,3
238274,Ascophyllum_nodosum_3,Ascophyllum nodosum,Fucaceae,Phaeophyceae,Chromalveolata,Aberg,10.3354/meps063281,1990,SWE,Europe,TSS,Göteborg,Unmanipulated,1985,NA,NA,1988,NA,NA,Mean,57.633333,11.75,Divided,Yes,5,Algae,FALSE,21.85632172548471,1.7853447067750844e-4,0.38599303385820993,1.0856312129799781,2.0850694444444446,0.08259373471670134,785.6830814417459,0.9552782698424895,2
238275,Astragalus_australis_var._olympicus,Astragalus cottonii,Fabaceae,Magnoliopsida,Plantae,Kaye,NA,1990,USA,N America,TCF,Unicorn Peak,Unmanipulated,1987,7,Summer,1988,9,Autumn,Mean,48.008889,-123.520833,Divided,NA,3,Herbaceous perennial,FALSE,48569.72053888075,5.914708437869287e-6,0.0015999999999999999,1.8412177781796955,2.5069318866787222,0.571535356680289,1.0702749932270221,0.021171043678350446,7
238277,Astragalus_australis_var._olympicus,Astragalus cottonii,Fabaceae,Magnoliopsida,Plantae,Kaye,NA,1990,USA,N America,TCF,Blue Mountain summit,Unmanipulated,1987,7,Summer,1988,9,Autumn,Mean,47.954722,-123.258333,Divided,NA,3,Herbaceous perennial,FALSE,Inf,0,0.1024,2.3228931176517924,2.3706140350877196,0.9025962359415338,1.1143410086912342,0,24
