MatrixID,SpeciesAuthor,SpeciesAccepted,Family,Class,Kingdom,Authors,DOI_ISBN,YearPublication,Country,Continent,Ecoregion,MatrixPopulation,MatrixTreatment,MatrixStartYear,MatrixStartMonth,MatrixStartSeason,MatrixEndYear,MatrixEndMonth,MatrixEndSeason,MatrixComposite,Lat,Lon,MatrixSplit,MatrixFec,MatrixDimension,OrganismType,DRAGnet,T_generation,R0,percapita_repro,Lmean,age_repro,Lambda,Reactivity,FirstStepAtt,Lmax
238263,Allium_vineale,Allium vineale,Amaryllidaceae,Liliopsida,Plantae,Burns; Pardini; Schutzenhofer; Chung; Seidler; Knight,10.1890/12-1310.1,2013,USA,N America,TBM,Tyson Research Center,Unmanipulated,2007,7,Summer,2008,7,Summer,Individual,38.5,-90.5,Divided,NA,3,Herbaceous perennial,TRUE,2.1458431865094867,1.4061237821153136,10.348742999999999,1.1811322636765564,2.0101010101010104,1.170906773884173,8.971770626240456,0.1305458328616013,3
238271,Ascophyllum_nodosum_3,Ascophyllum nodosum,Fucaceae,Phaeophyceae,Chromalveolata,Aberg,10.3354/meps063281,1990,SWE,Europe,TSS,Göteborg,Unmanipulated,1985,NA,NA,1988,NA,NA,Mean,57.633333,11.75,Divided,Yes,5,Algae,FALSE,8.102703045844786,0.007213757020791172,1.8314103876912315,1.3273620922488847,2.2993762993762994,0.401266153313386,154.217343000446,0.6172960214926178,4
238273,Ascophyllum_nodosum_3,Ascophyllum nodosum,Fucaceae,Phaeophyceae,Chromalveolata,Aberg,10.3354/meps063281,1990,SWE,Europe,TSS,Göteborg,Unmanipulated,1985,NA,NA,1988,NA,NA,Mean,57.633333,11.75,Divided,Yes,5,Algae,FALSE,11.909344014411024,9.705790909781936e-4,0.17142159141790048,1.1836699778604824,2.168770453482936,0.16235469401599628,378.99982118125524,0.5869864162388209,3
238274,Ascophyllum_nodosum_3,Ascophyllum nodosum,Fucaceae,Phaeophyceae,Chromalveolata,Aberg,10.3354/meps063281,1990,SWE,Europe,TSS,Göteborg,Unmanipulated,1985,NA,NA,1988,NA,NA,Mean,57.633333,11.75,Divided,Yes,5,Algae,FALSE,21.85632172548471,1.7853447067750844e-4,0.38599303385820993,1.0856312129799781,2.0850694444444446,0.08259373471670134,785.6830814417459,0.9552782698424895,2
238285,Caladenia_amonea,Caladenia amonea,Orchidaceae,Liliopsida,Plantae,Tremblay; Pérez; Larcombe; Brown; Quarmby; Bickerton; French; Bould,10.1071/BT08167,2009,AUS,Oceania,TBM,"North-eastern Melbourne, Vic",Unmanipulated,1996,8,Summer,2007,9,Autumn,Mean,NA,NA,Divided,NA,3,Epiphyte,FALSE,17.250260615781595,0.40046418795601757,0.1468882316777436,6.957736614000338,1,0.9364476120168177,1.0678653959577196,0.9296836137207907,29
238286,Caladenia_argocalla,Caladenia argocalla,Orchidaceae,Liliopsida,Plantae,Tremblay; Pérez; Larcombe; Brown; Quarmby; Bickerton; French; Bould,10.1071/BT08167,2009,AUS,Oceania,TBM,"Adelaide Hills and Clare Valley, SA",Unmanipulated,2003,9,Autumn,2007,10,Autumn,Mean,NA,NA,Divided,NA,3,Epiphyte,FALSE,5.29848272074155,0.9828277046365198,0.41535452070163253,2.269333794083955,1,0.996727266276321,1.0032834796783534,0.9972637788002832,9
238287,Caladenia_clavigera,Caladenia clavigera,Orchidaceae,Liliopsida,Plantae,Tremblay; Pérez; Larcombe; Brown; Quarmby; Bickerton; French; Bould,10.1071/BT08167,2009,AUS,Oceania,TBM,"North-eastern Melbourne, Vic",Unmanipulated,1997,9,Autumn,2007,10,Autumn,Mean,NA,NA,Divided,NA,3,Epiphyte,FALSE,10.47804255838635,0.5623872519542996,0.1686217874244036,5.889553121109682,1,0.9362588827079544,1.068080654260589,0.7571623758053314,25
238288,Caladenia_elegans,Caladenia elegans,Orchidaceae,Liliopsida,Plantae,Tremblay; Pérez; Larcombe; Brown; Quarmby; Bickerton; French; Bould,10.1071/BT08167,2009,AUS,Oceania,TBM,Western Australia,Unmanipulated,1998,7,Summer,2007,8,Summer,Mean,NA,NA,Divided,NA,3,Epiphyte,FALSE,7.6574081296085525,0.6380262249827469,0.327057026346439,3.009325878542788,1,0.938188326629949,1.0658840785112769,0.954072838675444,12
238289,Caladenia_graniticola,Caladenia graniticola,Orchidaceae,Liliopsida,Plantae,Tremblay; Pérez; Larcombe; Brown; Quarmby; Bickerton; French; Bould,10.1071/BT08167,2009,AUS,Oceania,TBM,Western Australia,Unmanipulated,2004,9,Spring,2007,9,Spring,Mean,NA,NA,Divided,NA,3,Epiphyte,FALSE,6.117185207441021,0.7727784026996625,0.2730489800504379,3.6505063176838943,1,0.956631665923216,1.045334412001646,0.9186398812670464,15
238290,Caladenia_macroclavia,Caladenia macroclavia,Orchidaceae,Liliopsida,Plantae,Tremblay; Pérez; Larcombe; Brown; Quarmby; Bickerton; French; Bould,10.1071/BT08167,2009,AUS,Oceania,TBM,"Yorke Peninsula, SA",Unmanipulated,2001,9,Autumn,2007,10,Autumn,Mean,NA,NA,Divided,NA,3,Epiphyte,FALSE,4.225805785957757,0.9565804447700325,0.4349381120797533,2.305822755950447,1,0.9894883747016936,1.0107243557070649,0.9871768329713638,9
238291,Caladenia_oenochila,Caladenia oenochila,Orchidaceae,Liliopsida,Plantae,Tremblay; Pérez; Larcombe; Brown; Quarmby; Bickerton; French; Bould,10.1071/BT08167,2009,AUS,Oceania,TBM,"North-eastern Melbourne, Vic.",Unmanipulated,1997,9,Autumn,2007,10,Autumn,Mean,NA,NA,Divided,NA,3,Epiphyte,FALSE,7.627164247344322,0.654055390702275,0.25056897254952115,3.9432902989681433,1,0.9412002536919256,1.062473151784042,0.9138331578494544,16
238292,Caladenia_rosella,Caladenia rosella,Orchidaceae,Liliopsida,Plantae,Tremblay; Pérez; Larcombe; Brown; Quarmby; Bickerton; French; Bould,10.1071/BT08167,2009,AUS,Oceania,TBM,"North-eastern Melbourne, Vic",Unmanipulated,2004,8,Summer,2007,9,Autumn,Mean,NA,NA,Divided,NA,3,Epiphyte,FALSE,8.599328878935761,0.5567765567765569,0.2127274739646594,4.483400685917909,1,0.9246704654320529,1.0814663573500742,0.8197514988713563,19
238293,Caladenia_valida,Caladenia valida,Orchidaceae,Liliopsida,Plantae,Tremblay; Pérez; Larcombe; Brown; Quarmby; Bickerton; French; Bould,10.1071/BT08167,2009,AUS,Oceania,TBM,"Raymond Island, Vic.",Unmanipulated,2000,9,Autumn,2007,10,Autumn,Mean,NA,NA,Divided,NA,3,Epiphyte,FALSE,9.446309466575658,0.7945690672963401,0.38942560699126144,2.5500879466165287,1,0.9745940933280424,1.0260681927439161,0.990361019636428,10
238336,Cirsium_pitcheri_9,Cirsium pitcheri,Asteraceae,Magnoliopsida,Plantae,Halsey; Bell; McEachern; Pavlovic,10.1002/ecs2.1536,2016,USA,N America,TGS,Miller High Dunes,Unmanipulated,1992,NA,NA,1993,NA,NA,Individual,41.653056,-87.052222,Divided,NA,6,Herbaceous perennial,FALSE,6.267682695916023,0.06079982804332539,0.22,2.480105410875232,4.726110702664423,0.5921858056010773,1.4474224000184999,0.3715050207539115,8
238339,Cirsium_pitcheri_9,Cirsium pitcheri,Asteraceae,Magnoliopsida,Plantae,Halsey; Bell; McEachern; Pavlovic,10.1002/ecs2.1536,2016,USA,N America,TGS,Miller High Dunes,Unmanipulated,1998,NA,NA,1999,NA,NA,Individual,41.653056,-87.052222,Divided,NA,6,Herbaceous perennial,FALSE,5.113122973476064,0.43347743015319046,2.57,2.206830626987508,4.582427975343666,0.8409200255663473,3.05617647560378,0.5405329712464282,8
238341,Cirsium_pitcheri_9,Cirsium pitcheri,Asteraceae,Magnoliopsida,Plantae,Halsey; Bell; McEachern; Pavlovic,10.1002/ecs2.1536,2016,USA,N America,TGS,Miller High Dunes,Unmanipulated,2000,NA,NA,2001,NA,NA,Individual,41.653056,-87.052222,Divided,NA,6,Herbaceous perennial,FALSE,9.651426808661627,0.04961543117058553,0.2,2.752758287468214,5.268316885338056,0.6355646000694114,1.5734026090987259,0.31468083650058165,9
238343,Cirsium_pitcheri_9,Cirsium pitcheri,Asteraceae,Magnoliopsida,Plantae,Halsey; Bell; McEachern; Pavlovic,10.1002/ecs2.1536,2016,USA,N America,TGS,Miller High Dunes,Unmanipulated,2002,NA,NA,2003,NA,NA,Individual,41.653056,-87.052222,Divided,NA,6,Herbaceous perennial,FALSE,5.0739161675812365,0.89663604816977,8,1.8412200478731224,5.044221357880108,0.978664234100638,8.174407239222093,0.28383381176207934,7
238344,Cirsium_pitcheri_9,Cirsium pitcheri,Asteraceae,Magnoliopsida,Plantae,Halsey; Bell; McEachern; Pavlovic,10.1002/ecs2.1536,2016,USA,N America,TGS,Miller High Dunes,Unmanipulated,2003,NA,NA,2004,NA,NA,Individual,41.653056,-87.052222,Divided,NA,6,Herbaceous perennial,FALSE,6.826682888963146,0.023751963402827852,0.167,2.132387382382433,5.272300213793225,0.5280703591446726,1.6832775871756056,0.3162457371598998,7
238349,Cirsium_pitcheri_9,Cirsium pitcheri,Asteraceae,Magnoliopsida,Plantae,Halsey; Bell; McEachern; Pavlovic,10.1002/ecs2.1536,2016,USA,N America,TGS,Miller High Dunes,Unmanipulated,2008,NA,NA,2009,NA,NA,Individual,41.653056,-87.052222,Divided,NA,6,Herbaceous perennial,FALSE,6.102148352437169,0.2963724677354572,3.75,2.162029461160898,5.544184716360471,0.8108102586486071,4.625003149627382,0.44400030236422866,7
238352,Cirsium_pitcheri_9,Cirsium pitcheri,Asteraceae,Magnoliopsida,Plantae,Halsey; Bell; McEachern; Pavlovic,10.1002/ecs2.1536,2016,USA,N America,TGS,Miller High Dunes,Unmanipulated,2011,NA,NA,2012,NA,NA,Individual,41.653056,-87.052222,Divided,NA,6,Herbaceous perennial,FALSE,7.374192014185104,0.25744507274947503,0.75,4.35032136315124,6.273778803352073,0.8183274175911069,1.1541162860950482,0.8961351950771659,11
