taxa
Agrimonia eupatoria
Allium vineale
Andropogon gerardii
Arenaria serpyllifolia
Armeria maritima
Centaurea jacea
Cerastium fontanum
Cirsium arvense
Cirsium palustre
Cirsium vulgare
Daucus carota
Echium vulgare
Elymus repens
Erigeron canadensis
Knautia arvensis
Lactuca serriola
Linum catharticum
Picris hieracioides
Pimpinella saxifraga
Plantago coronopus
Plantago media
Poa alpina
Potentilla recta
Primula elatior
Primula veris
Ranunculus acris
Ratibida columnifera
Salsola kali
Sphaeralcea coccinea
Stenaria nigricans
Taraxacum campylodes
Thymus vulgaris
Verbascum thapsus
Veronica arvensis
Acer saccharum
Ailanthus altissima
Carduus nutans
Myosotis ramosissima
Cytisus scoparius
