Taxon,Taxon_site,RE,RE_se,model,time_period,experiment,ID,site_name,Demo_trait,Demo_value,New_demo_trait,hypoth
Agrimonia_eupatoria,Agrimonia_eupatoria_Lublin,-2.231,0.561,Ordbeta,T0-T1,DIST,1,Lublin,FirstStepAtt,0.6842796214646216,First step attenuation,H3
Agrimonia_eupatoria,Agrimonia_eupatoria_Lublin,-2.231,0.561,Ordbeta,T0-T1,DIST,1,Lublin,Lambda,0.99064442494128635,Population growth rate,H4
Agrimonia_eupatoria,Agrimonia_eupatoria_Lublin,-2.231,0.561,Ordbeta,T0-T1,DIST,1,Lublin,R0,1.6114677027277815,Net reproductive rate,H1
Agrimonia_eupatoria,Agrimonia_eupatoria_Lublin,-2.231,0.561,Ordbeta,T0-T1,DIST,1,Lublin,Reactivity,1.211787103394109,Reactivity,H3
Agrimonia_eupatoria,Agrimonia_eupatoria_Lublin,-2.231,0.561,Ordbeta,T0-T1,DIST,1,Lublin,T_generation,39.10376182698671,Generation time,H2
Agrimonia_eupatoria,Agrimonia_eupatoria_Lublin,-2.231,0.561,Ordbeta,T0-T1,DIST,1,Lublin,age_repro,8.104361720252461,Age at first reproduction,H2
Agrimonia_eupatoria,Agrimonia_eupatoria_Lublin,-2.231,0.561,Ordbeta,T0-T1,DIST,1,Lublin,percapita_repro,0.211625,Per capita reproduction,H1
Agrimonia_eupatoria,Agrimonia_eupatoria_Wytham Woods,-2.338,0.172,Ordbeta,T0-T1,DIST,1,Wytham Woods,FirstStepAtt,0.6842796214646216,First step attenuation,H3
Agrimonia_eupatoria,Agrimonia_eupatoria_Wytham Woods,-2.338,0.172,Ordbeta,T0-T1,DIST,1,Wytham Woods,Lambda,0.99064442494128635,Population growth rate,H4
Agrimonia_eupatoria,Agrimonia_eupatoria_Wytham Woods,-2.338,0.172,Ordbeta,T0-T1,DIST,1,Wytham Woods,R0,1.6114677027277815,Net reproductive rate,H1
Agrimonia_eupatoria,Agrimonia_eupatoria_Wytham Woods,-2.338,0.172,Ordbeta,T0-T1,DIST,1,Wytham Woods,Reactivity,1.211787103394109,Reactivity,H3
