group_var,effect,group,value,se,lower_2.5,upper_97.5,model,time_period,experiment
New_taxon,Intercept,Achillea_millefolium,-2.224,0.194,-2.605,-1.843,Hurdle_cond,1,DIST
New_taxon,Intercept,Agrimonia_eupatoria,-2.339,0.308,-2.943,-1.735,Hurdle_cond,1,DIST
New_taxon,Intercept,Agropyron_cristatum,-2.125,0.491,-3.088,-1.162,Hurdle_cond,1,DIST
New_taxon,Intercept,Allium_vineale,-2.829,0.414,-3.64,-2.018,Hurdle_cond,1,DIST
New_taxon,Intercept,Alternanthera_philoxeroides,-2.522,0.535,-3.57,-1.474,Hurdle_cond,1,DIST
New_taxon,Intercept,Amaranthus_retroflexus,-2.714,0.595,-3.879,-1.549,Hurdle_cond,1,DIST
New_taxon,Intercept,Andropogon_gerardii,-1.568,0.279,-2.114,-1.022,Hurdle_cond,1,DIST
New_taxon,Intercept,Anthoxanthum_odoratum,-2.083,0.2,-2.475,-1.691,Hurdle_cond,1,DIST
New_taxon,Intercept,Arenaria_serpyllifolia,-2.722,0.317,-3.344,-2.1,Hurdle_cond,1,DIST
New_taxon,Intercept,Armeria_maritima,-2.874,0.422,-3.7,-2.048,Hurdle_cond,1,DIST
New_taxon,Intercept,Bothriochloa_ischaemum,-2.801,0.423,-3.631,-1.971,Hurdle_cond,1,DIST
New_taxon,Intercept,Bromus_tectorum,-2.368,0.227,-2.814,-1.922,Hurdle_cond,1,DIST
New_taxon,Intercept,Centaurea_jacea,-2.564,0.291,-3.134,-1.994,Hurdle_cond,1,DIST
New_taxon,Intercept,Centaurea_stoebe,-1.845,0.244,-2.323,-1.367,Hurdle_cond,1,DIST
New_taxon,Intercept,Cerastium_fontanum,-2.685,0.225,-3.126,-2.244,Hurdle_cond,1,DIST
New_taxon,Intercept,Chamaecrista_fasciculata,-2.664,0.381,-3.412,-1.916,Hurdle_cond,1,DIST
New_taxon,Intercept,Cirsium_arvense,-2.055,0.221,-2.489,-1.621,Hurdle_cond,1,DIST
New_taxon,Intercept,Cirsium_palustre,-2.785,0.399,-3.566,-2.004,Hurdle_cond,1,DIST
New_taxon,Intercept,Cirsium_vulgare,-2.477,0.309,-3.083,-1.871,Hurdle_cond,1,DIST
New_taxon,Intercept,Daucus_carota,-2.507,0.247,-2.99,-2.024,Hurdle_cond,1,DIST
New_taxon,Intercept,Echinochloa_crus-galli,-2.051,0.633,-3.291,-0.811,Hurdle_cond,1,DIST
New_taxon,Intercept,Echium_vulgare,-2.743,0.477,-3.677,-1.809,Hurdle_cond,1,DIST
New_taxon,Intercept,Elymus_repens,-2.056,0.232,-2.51,-1.602,Hurdle_cond,1,DIST
New_taxon,Intercept,Erigeron_canadensis,-2.962,0.306,-3.562,-2.362,Hurdle_cond,1,DIST
New_taxon,Intercept,Erophila_verna,-2.975,0.489,-3.934,-2.016,Hurdle_cond,1,DIST
New_taxon,Intercept,Fragaria_vesca,-2.456,0.327,-3.096,-1.816,Hurdle_cond,1,DIST
New_taxon,Intercept,Heteropogon_contortus,-2.564,0.554,-3.649,-1.479,Hurdle_cond,1,DIST
New_taxon,Intercept,Hypochaeris_radicata,-2.605,0.242,-3.08,-2.13,Hurdle_cond,1,DIST
New_taxon,Intercept,Jacobaea_vulgaris,-2.646,0.35,-3.332,-1.96,Hurdle_cond,1,DIST
New_taxon,Intercept,Knautia_arvensis,-2.138,0.361,-2.846,-1.43,Hurdle_cond,1,DIST
New_taxon,Intercept,Koeleria_macrantha,-2.309,0.326,-2.947,-1.671,Hurdle_cond,1,DIST
New_taxon,Intercept,Lactuca_serriola,-2.776,0.35,-3.462,-2.09,Hurdle_cond,1,DIST
New_taxon,Intercept,Linum_catharticum,-2.89,0.408,-3.69,-2.09,Hurdle_cond,1,DIST
New_taxon,Intercept,Lotus_corniculatus,-2.426,0.216,-2.848,-2.004,Hurdle_cond,1,DIST
New_taxon,Intercept,Opuntia_macrorhiza,-2.847,0.404,-3.639,-2.055,Hurdle_cond,1,DIST
New_taxon,Intercept,Picris_hieracioides,-1.814,0.27,-2.343,-1.285,Hurdle_cond,1,DIST
New_taxon,Intercept,Pimpinella_saxifraga,-2.535,0.389,-3.297,-1.773,Hurdle_cond,1,DIST
New_taxon,Intercept,Pinus_palustris,-2.498,0.493,-3.464,-1.532,Hurdle_cond,1,DIST
New_taxon,Intercept,Plantago_coronopus,-2.528,0.321,-3.157,-1.899,Hurdle_cond,1,DIST
New_taxon,Intercept,Plantago_media,-2.502,0.363,-3.214,-1.79,Hurdle_cond,1,DIST
New_taxon,Intercept,Poa_alpina,-2.704,0.596,-3.871,-1.537,Hurdle_cond,1,DIST
New_taxon,Intercept,Potentilla_recta,-2.662,0.314,-3.277,-2.047,Hurdle_cond,1,DIST
New_taxon,Intercept,Primula_elatior,-2.727,0.492,-3.692,-1.762,Hurdle_cond,1,DIST
New_taxon,Intercept,Primula_veris,-2.754,0.452,-3.641,-1.867,Hurdle_cond,1,DIST
New_taxon,Intercept,Prosopis_glandulosa,-2.717,0.551,-3.796,-1.638,Hurdle_cond,1,DIST
New_taxon,Intercept,Ranunculus_acris,-2.609,0.235,-3.07,-2.148,Hurdle_cond,1,DIST
New_taxon,Intercept,Ranunculus_bulbosus,-2.778,0.423,-3.608,-1.948,Hurdle_cond,1,DIST
New_taxon,Intercept,Ranunculus_repens,-2.724,0.277,-3.267,-2.181,Hurdle_cond,1,DIST
New_taxon,Intercept,Ratibida_columnifera,-2.661,0.601,-3.838,-1.484,Hurdle_cond,1,DIST
New_taxon,Intercept,Rhinanthus_minor,-2.82,0.521,-3.842,-1.798,Hurdle_cond,1,DIST
New_taxon,Intercept,Rhus_copallinum,-2.831,0.589,-3.985,-1.677,Hurdle_cond,1,DIST
New_taxon,Intercept,Rosa_canina,-2.949,0.424,-3.781,-2.117,Hurdle_cond,1,DIST
New_taxon,Intercept,Rosa_multiflora,-2.6,0.452,-3.487,-1.713,Hurdle_cond,1,DIST
New_taxon,Intercept,Salsola_kali,-2.867,0.387,-3.626,-2.108,Hurdle_cond,1,DIST
New_taxon,Intercept,Solidago_altissima,-1.641,0.262,-2.154,-1.128,Hurdle_cond,1,DIST
New_taxon,Intercept,Spartina_alterniflora,1.495,0.308,0.891,2.099,Hurdle_cond,1,DIST
New_taxon,Intercept,Sphaeralcea_coccinea,-2.676,0.397,-3.453,-1.899,Hurdle_cond,1,DIST
New_taxon,Intercept,Stenaria_nigricans,-2.008,0.406,-2.804,-1.212,Hurdle_cond,1,DIST
New_taxon,Intercept,Taraxacum_campylodes,-2.494,0.413,-3.303,-1.685,Hurdle_cond,1,DIST
New_taxon,Intercept,Themeda_triandra,-0.832,0.311,-1.441,-0.223,Hurdle_cond,1,DIST
New_taxon,Intercept,Thymus_vulgaris,-2.735,0.433,-3.584,-1.886,Hurdle_cond,1,DIST
New_taxon,Intercept,Tragopogon_dubius,-2.866,0.391,-3.632,-2.1,Hurdle_cond,1,DIST
New_taxon,Intercept,Tragopogon_orientalis,-2.963,0.489,-3.922,-2.004,Hurdle_cond,1,DIST
New_taxon,Intercept,Tragopogon_pratensis,-2.895,0.34,-3.561,-2.229,Hurdle_cond,1,DIST
New_taxon,Intercept,Trifolium_pratense,-2.428,0.211,-2.841,-2.015,Hurdle_cond,1,DIST
New_taxon,Intercept,Verbascum_thapsus,-1.986,0.32,-2.613,-1.359,Hurdle_cond,1,DIST
New_taxon,Intercept,Veronica_arvensis,-2.957,0.267,-3.48,-2.434,Hurdle_cond,1,DIST
New_taxon,Intercept,Vincetoxicum_nigrum,-2.382,0.558,-3.476,-1.288,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Agroscope Changins_1_Achillea_millefolium,-2.4,0.354,-3.094,-1.706,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Agroscope Changins_1_Centaurea_jacea,-2.724,0.406,-3.52,-1.928,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Agroscope Changins_1_Cerastium_fontanum,-2.83,0.357,-3.529,-2.131,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Agroscope Changins_1_Daucus_carota,-2.728,0.362,-3.438,-2.018,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Agroscope Changins_1_Lotus_corniculatus,-2.193,0.369,-2.916,-1.47,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Agroscope Changins_1_Ranunculus_acris,-2.401,0.372,-3.13,-1.672,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Agroscope Changins_1_Tragopogon_pratensis,-2.57,0.451,-3.455,-1.685,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Agroscope Changins_1_Trifolium_pratense,-2.525,0.359,-3.228,-1.822,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Agroscope Changins_1_Veronica_arvensis,-2.675,0.437,-3.531,-1.819,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Agroscope Changins_2_Achillea_millefolium,-2.359,0.355,-3.054,-1.664,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Agroscope Changins_2_Centaurea_jacea,-2.79,0.372,-3.519,-2.061,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Agroscope Changins_2_Cerastium_fontanum,-2.706,0.379,-3.448,-1.964,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Agroscope Changins_2_Daucus_carota,-2.713,0.401,-3.5,-1.926,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Agroscope Changins_2_Knautia_arvensis,-2.796,0.431,-3.641,-1.951,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Agroscope Changins_2_Lotus_corniculatus,-2.554,0.379,-3.298,-1.81,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Agroscope Changins_2_Ranunculus_acris,-2.347,0.374,-3.08,-1.614,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Agroscope Changins_2_Trifolium_pratense,-1.94,0.375,-2.674,-1.206,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Agroscope Changins_3_Achillea_millefolium,-2.245,0.357,-2.944,-1.546,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Agroscope Changins_3_Centaurea_jacea,-2.71,0.433,-3.559,-1.861,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Agroscope Changins_3_Cerastium_fontanum,-2.816,0.357,-3.515,-2.117,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Agroscope Changins_3_Lotus_corniculatus,-2.586,0.378,-3.326,-1.846,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Agroscope Changins_3_Ranunculus_acris,-2.468,0.37,-3.193,-1.743,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Agroscope Changins_3_Tragopogon_pratensis,-2.685,0.417,-3.502,-1.868,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Agroscope Changins_3_Trifolium_pratense,-2.076,0.372,-2.805,-1.347,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Agroscope Changins_4_Achillea_millefolium,-2.384,0.355,-3.079,-1.689,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Agroscope Changins_4_Centaurea_jacea,-2.423,0.399,-3.204,-1.642,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Agroscope Changins_4_Cerastium_fontanum,-2.727,0.399,-3.508,-1.946,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Agroscope Changins_4_Daucus_carota,-2.253,0.436,-3.108,-1.398,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Agroscope Changins_4_Elymus_repens,-2.632,0.432,-3.479,-1.785,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Agroscope Changins_4_Lotus_corniculatus,-2.548,0.36,-3.253,-1.843,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Agroscope Changins_4_Ranunculus_acris,-2.403,0.395,-3.177,-1.629,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Agroscope Changins_4_Trifolium_pratense,-2.349,0.364,-3.063,-1.635,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Agroscope Changins_4_Veronica_arvensis,-2.717,0.433,-3.566,-1.868,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Ainsdale Dune Slacks_1_Cirsium_arvense,-2.766,0.422,-3.592,-1.94,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Ainsdale Dune Slacks_1_Cirsium_palustre,-2.621,0.416,-3.436,-1.806,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Ainsdale Dune Slacks_1_Lotus_corniculatus,-2.827,0.338,-3.489,-2.165,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Ainsdale Dune Slacks_1_Ranunculus_repens,-2.554,0.418,-3.373,-1.735,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Ainsdale Dune Slacks_2_Cirsium_palustre,-2.528,0.402,-3.317,-1.739,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Ainsdale Dune Slacks_2_Linum_catharticum,-2.538,0.458,-3.436,-1.64,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Ainsdale Dune Slacks_2_Lotus_corniculatus,-2.839,0.326,-3.477,-2.201,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Ainsdale Dune Slacks_2_Ranunculus_repens,-2.575,0.448,-3.452,-1.698,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Ainsdale Dune Slacks_3_Cirsium_palustre,-2.561,0.455,-3.453,-1.669,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Ainsdale Dune Slacks_3_Jacobaea_vulgaris,-2.594,0.449,-3.473,-1.715,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Ainsdale Dune Slacks_3_Lotus_corniculatus,-2.859,0.326,-3.497,-2.221,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Ainsdale Dune Slacks_3_Ranunculus_repens,-2.641,0.391,-3.407,-1.875,Hurdle_cond,1,DIST
site_block_taxon,Intercept,Algaida_1_Echium_vulgare,-2.589,0.433,-3.438,-1.74,Hurdle_cond,1,DIST
