group_var,effect,group,value,se,lower_2.5,upper_97.5,model,time_period,experiment
taxon_site,Intercept,Achillea_millefolium_Agroscope Changins,-1.955,0.224,-2.394,-1.516,Hurdle_cond,1,DIST
taxon_site,Intercept,Achillea_millefolium_Bad Lauchstaedt,-2.321,0.39,-3.086,-1.556,Hurdle_cond,1,DIST
taxon_site,Intercept,Achillea_millefolium_Bayreuth DRAGNet,-2.753,0.463,-3.66,-1.846,Hurdle_cond,1,DIST
taxon_site,Intercept,Achillea_millefolium_Cary IES,-2.484,0.342,-3.153,-1.815,Hurdle_cond,1,DIST
taxon_site,Intercept,Achillea_millefolium_Churning Rapids,-2.246,0.287,-2.809,-1.683,Hurdle_cond,1,DIST
taxon_site,Intercept,Achillea_millefolium_Hazelrigg,-2.559,0.478,-3.495,-1.623,Hurdle_cond,1,DIST
taxon_site,Intercept,Achillea_millefolium_Izaak Walton League of America (IWLA),-2.61,0.323,-3.243,-1.977,Hurdle_cond,1,DIST
taxon_site,Intercept,Achillea_millefolium_Jena,-0.395,0.206,-0.799,0.009,Hurdle_cond,1,DIST
taxon_site,Intercept,Achillea_millefolium_Kellogg Biological Station (KBS),-2.878,0.414,-3.689,-2.067,Hurdle_cond,1,DIST
taxon_site,Intercept,Achillea_millefolium_Konza LTER DRAGNet,-2.693,0.359,-3.397,-1.989,Hurdle_cond,1,DIST
taxon_site,Intercept,Achillea_millefolium_Lublin,-2.571,0.361,-3.279,-1.863,Hurdle_cond,1,DIST
taxon_site,Intercept,Achillea_millefolium_Meranges,-2.521,0.306,-3.12,-1.922,Hurdle_cond,1,DIST
taxon_site,Intercept,Achillea_millefolium_Stoderzinken,-2.741,0.53,-3.78,-1.702,Hurdle_cond,1,DIST
taxon_site,Intercept,Achillea_millefolium_Wallula Gap Biological Station-North Face,-2.788,0.284,-3.346,-2.23,Hurdle_cond,1,DIST
taxon_site,Intercept,Achillea_millefolium_Wallula Gap Biological Station-South Face,-2.634,0.542,-3.696,-1.572,Hurdle_cond,1,DIST
taxon_site,Intercept,Achillea_millefolium_WSL,-2.741,0.53,-3.78,-1.702,Hurdle_cond,1,DIST
taxon_site,Intercept,Agrimonia_eupatoria_Lublin,-1.788,0.653,-3.068,-0.508,Hurdle_cond,1,DIST
taxon_site,Intercept,Agrimonia_eupatoria_Wytham Woods,-2.486,0.217,-2.912,-2.06,Hurdle_cond,1,DIST
taxon_site,Intercept,Agropyron_cristatum_Millville,-2.079,0.43,-2.921,-1.237,Hurdle_cond,1,DIST
taxon_site,Intercept,Allium_vineale_Blandy Experimental Farm,-2.85,0.359,-3.554,-2.146,Hurdle_cond,1,DIST
taxon_site,Intercept,Alternanthera_philoxeroides_Castellanos,-2.555,0.478,-3.491,-1.619,Hurdle_cond,1,DIST
taxon_site,Intercept,Amaranthus_retroflexus_Konza LTER DRAGNet,-2.741,0.53,-3.78,-1.702,Hurdle_cond,1,DIST
taxon_site,Intercept,Andropogon_gerardii_Kellogg Biological Station (KBS),-0.849,0.224,-1.288,-0.41,Hurdle_cond,1,DIST
