MatrixID,SpeciesAuthor,SpeciesAccepted,Family,Class,Kingdom,Authors,DOI_ISBN,YearPublication,Country,Continent,Ecoregion,MatrixPopulation,MatrixTreatment,MatrixStartYear,MatrixStartMonth,MatrixStartSeason,MatrixEndYear,MatrixEndMonth,MatrixEndSeason,MatrixComposite,Lat,Lon,MatrixSplit,MatrixFec,MatrixDimension,OrganismType
238263,Allium_vineale,Allium vineale,Amaryllidaceae,Liliopsida,Plantae,Burns; Pardini; Schutzenhofer; Chung; Seidler; Knight,10.1890/12-1310.1,2013,USA,N America,TBM,Tyson Research Center,Unmanipulated,2007,7,Summer,2008,7,Summer,Individual,38.5,-90.5,Divided,NA,3,Herbaceous perennial
238265,Araucaria_cunninghamii_2,Araucaria cunninghamii,Araucariaceae,Pinopsida,Plantae,Enright,10.1111/j.1442-9993.1982.tb01304.x,1982,PNG,Oceania,TMB,Bulolo (site 20); constant production,Unmanipulated,1975,NA,NA,1976,NA,NA,Mean,-7.204444,146.631667,Divided,NA,11,Tree
238266,Araucaria_cunninghamii_2,Araucaria cunninghamii,Araucariaceae,Pinopsida,Plantae,Enright,10.1111/j.1442-9993.1982.tb01304.x,1982,PNG,Oceania,TMB,Bulolo (site 20); constantly increasing production,Unmanipulated,1975,NA,NA,1976,NA,NA,Mean,-7.204444,146.631667,Divided,NA,11,Tree
238271,Ascophyllum_nodosum_3,Ascophyllum nodosum,Fucaceae,Phaeophyceae,Chromalveolata,Aberg,10.3354/meps063281,1990,SWE,Europe,TSS,Göteborg,Unmanipulated,1985,NA,NA,1988,NA,NA,Mean,57.633333,11.75,Divided,Yes,5,Algae
238273,Ascophyllum_nodosum_3,Ascophyllum nodosum,Fucaceae,Phaeophyceae,Chromalveolata,Aberg,10.3354/meps063281,1990,SWE,Europe,TSS,Göteborg,Unmanipulated,1985,NA,NA,1988,NA,NA,Mean,57.633333,11.75,Divided,Yes,5,Algae
238275,Astragalus_australis_var._olympicus,Astragalus cottonii,Fabaceae,Magnoliopsida,Plantae,Kaye,NA,1990,USA,N America,TCF,Unicorn Peak,Unmanipulated,1987,7,Summer,1988,9,Autumn,Mean,48.008889,-123.520833,Divided,NA,3,Herbaceous perennial
238278,Astragalus_australis_var._olympicus,Astragalus cottonii,Fabaceae,Magnoliopsida,Plantae,Kaye,NA,1990,USA,N America,TCF,Blue Mountain NE buttress,Unmanipulated,1987,7,Summer,1988,9,Autumn,Mean,47.960556,-123.252778,Divided,NA,3,Herbaceous perennial
238279,Astragalus_australis_var._olympicus,Astragalus cottonii,Fabaceae,Magnoliopsida,Plantae,Kaye,NA,1990,USA,N America,TCF,All plots pooled,Unmanipulated,1987,7,Summer,1988,9,Autumn,Pooled,NA,NA,Divided,NA,3,Herbaceous perennial
238307,Chamaedorea_radicalis_3,Chamaedorea radicalis,Arecaceae,Liliopsida,Plantae,Ash; Gorchov; Endress,10.1894/0038-4909-58.1.70,2013,MEX,N America,TMB,Control Treatment,Unmanipulated,1999,NA,NA,2003,NA,NA,Mean,NA,NA,Divided,NA,5,Palm
238336,Cirsium_pitcheri_9,Cirsium pitcheri,Asteraceae,Magnoliopsida,Plantae,Halsey; Bell; McEachern; Pavlovic,10.1002/ecs2.1536,2016,USA,N America,TGS,Miller High Dunes,Unmanipulated,1992,NA,NA,1993,NA,NA,Individual,41.653056,-87.052222,Divided,NA,6,Herbaceous perennial
238339,Cirsium_pitcheri_9,Cirsium pitcheri,Asteraceae,Magnoliopsida,Plantae,Halsey; Bell; McEachern; Pavlovic,10.1002/ecs2.1536,2016,USA,N America,TGS,Miller High Dunes,Unmanipulated,1998,NA,NA,1999,NA,NA,Individual,41.653056,-87.052222,Divided,NA,6,Herbaceous perennial
238341,Cirsium_pitcheri_9,Cirsium pitcheri,Asteraceae,Magnoliopsida,Plantae,Halsey; Bell; McEachern; Pavlovic,10.1002/ecs2.1536,2016,USA,N America,TGS,Miller High Dunes,Unmanipulated,2000,NA,NA,2001,NA,NA,Individual,41.653056,-87.052222,Divided,NA,6,Herbaceous perennial
238343,Cirsium_pitcheri_9,Cirsium pitcheri,Asteraceae,Magnoliopsida,Plantae,Halsey; Bell; McEachern; Pavlovic,10.1002/ecs2.1536,2016,USA,N America,TGS,Miller High Dunes,Unmanipulated,2002,NA,NA,2003,NA,NA,Individual,41.653056,-87.052222,Divided,NA,6,Herbaceous perennial
238344,Cirsium_pitcheri_9,Cirsium pitcheri,Asteraceae,Magnoliopsida,Plantae,Halsey; Bell; McEachern; Pavlovic,10.1002/ecs2.1536,2016,USA,N America,TGS,Miller High Dunes,Unmanipulated,2003,NA,NA,2004,NA,NA,Individual,41.653056,-87.052222,Divided,NA,6,Herbaceous perennial
238349,Cirsium_pitcheri_9,Cirsium pitcheri,Asteraceae,Magnoliopsida,Plantae,Halsey; Bell; McEachern; Pavlovic,10.1002/ecs2.1536,2016,USA,N America,TGS,Miller High Dunes,Unmanipulated,2008,NA,NA,2009,NA,NA,Individual,41.653056,-87.052222,Divided,NA,6,Herbaceous perennial
238352,Cirsium_pitcheri_9,Cirsium pitcheri,Asteraceae,Magnoliopsida,Plantae,Halsey; Bell; McEachern; Pavlovic,10.1002/ecs2.1536,2016,USA,N America,TGS,Miller High Dunes,Unmanipulated,2011,NA,NA,2012,NA,NA,Individual,41.653056,-87.052222,Divided,NA,6,Herbaceous perennial
238358,Cirsium_pitcheri_9,Cirsium pitcheri,Asteraceae,Magnoliopsida,Plantae,Halsey; Bell; McEachern; Pavlovic,10.1002/ecs2.1536,2016,USA,N America,TGS,State Park Big Blowout,Unmanipulated,1993,NA,NA,1994,NA,NA,Individual,41.659167,-87.062778,Divided,NA,6,Herbaceous perennial
238381,Cirsium_pitcheri_9,Cirsium pitcheri,Asteraceae,Magnoliopsida,Plantae,Halsey; Bell; McEachern; Pavlovic,10.1002/ecs2.1536,2016,USA,N America,TGS,Odgen Dunes East,Unmanipulated,2007,NA,NA,2008,NA,NA,Individual,41.644167,-87.218611,Divided,NA,6,Herbaceous perennial
238382,Cirsium_pitcheri_9,Cirsium pitcheri,Asteraceae,Magnoliopsida,Plantae,Halsey; Bell; McEachern; Pavlovic,10.1002/ecs2.1536,2016,USA,N America,TGS,Odgen Dunes East,Unmanipulated,2008,NA,NA,2009,NA,NA,Individual,41.644167,-87.218611,Divided,NA,6,Herbaceous perennial
238385,Cirsium_pitcheri_9,Cirsium pitcheri,Asteraceae,Magnoliopsida,Plantae,Halsey; Bell; McEachern; Pavlovic,10.1002/ecs2.1536,2016,USA,N America,TGS,Odgen Dunes East,Unmanipulated,2011,NA,NA,2012,NA,NA,Individual,41.644167,-87.218611,Divided,NA,6,Herbaceous perennial
238391,Cirsium_pitcheri_9,Cirsium pitcheri,Asteraceae,Magnoliopsida,Plantae,Halsey; Bell; McEachern; Pavlovic,10.1002/ecs2.1536,2016,USA,N America,TGS,West Beach,Unmanipulated,1993,NA,NA,1994,NA,NA,Individual,41.618889,-87.208333,Divided,NA,6,Herbaceous perennial
238394,Cirsium_pitcheri_9,Cirsium pitcheri,Asteraceae,Magnoliopsida,Plantae,Halsey; Bell; McEachern; Pavlovic,10.1002/ecs2.1536,2016,USA,N America,TGS,West Beach,Unmanipulated,1999,NA,NA,2000,NA,NA,Individual,41.618889,-87.208333,Divided,NA,6,Herbaceous perennial
238395,Cirsium_pitcheri_9,Cirsium pitcheri,Asteraceae,Magnoliopsida,Plantae,Halsey; Bell; McEachern; Pavlovic,10.1002/ecs2.1536,2016,USA,N America,TGS,West Beach,Unmanipulated,2000,NA,NA,2001,NA,NA,Individual,41.618889,-87.208333,Divided,NA,6,Herbaceous perennial
238396,Cirsium_pitcheri_9,Cirsium pitcheri,Asteraceae,Magnoliopsida,Plantae,Halsey; Bell; McEachern; Pavlovic,10.1002/ecs2.1536,2016,USA,N America,TGS,West Beach,Unmanipulated,2001,NA,NA,2002,NA,NA,Individual,41.618889,-87.208333,Divided,NA,6,Herbaceous perennial
238398,Cirsium_pitcheri_9,Cirsium pitcheri,Asteraceae,Magnoliopsida,Plantae,Halsey; Bell; McEachern; Pavlovic,10.1002/ecs2.1536,2016,USA,N America,TGS,West Beach,Unmanipulated,2003,NA,NA,2004,NA,NA,Individual,41.618889,-87.208333,Divided,NA,6,Herbaceous perennial
238399,Cirsium_pitcheri_9,Cirsium pitcheri,Asteraceae,Magnoliopsida,Plantae,Halsey; Bell; McEachern; Pavlovic,10.1002/ecs2.1536,2016,USA,N America,TGS,West Beach,Unmanipulated,2004,NA,NA,2005,NA,NA,Individual,41.618889,-87.208333,Divided,NA,6,Herbaceous perennial
238410,Cirsium_pitcheri_9,Cirsium pitcheri,Asteraceae,Magnoliopsida,Plantae,Halsey; Bell; McEachern; Pavlovic,10.1002/ecs2.1536,2016,USA,N America,TGS,Odgen Dunes West,Unmanipulated,2004,NA,NA,2005,NA,NA,Individual,41.616667,-87.2,Divided,NA,6,Herbaceous perennial
238413,Cirsium_pitcheri_9,Cirsium pitcheri,Asteraceae,Magnoliopsida,Plantae,Halsey; Bell; McEachern; Pavlovic,10.1002/ecs2.1536,2016,USA,N America,TGS,Odgen Dunes West,Unmanipulated,2007,NA,NA,2008,NA,NA,Individual,41.616667,-87.2,Divided,NA,6,Herbaceous perennial
238415,Cirsium_pitcheri_9,Cirsium pitcheri,Asteraceae,Magnoliopsida,Plantae,Halsey; Bell; McEachern; Pavlovic,10.1002/ecs2.1536,2016,USA,N America,TGS,Odgen Dunes West,Unmanipulated,2009,NA,NA,2010,NA,NA,Individual,41.616667,-87.2,Divided,NA,6,Herbaceous perennial
238416,Cirsium_pitcheri_9,Cirsium pitcheri,Asteraceae,Magnoliopsida,Plantae,Halsey; Bell; McEachern; Pavlovic,10.1002/ecs2.1536,2016,USA,N America,TGS,Odgen Dunes West,Unmanipulated,2010,NA,NA,2011,NA,NA,Individual,41.616667,-87.2,Divided,NA,6,Herbaceous perennial
238420,Conradina_glabra,Conradina glabra,Lamiaceae,Magnoliopsida,Plantae,Bladow; Bohner; Winn,10.3375/043.037.0305,2017,USA,N America,TCF,Introduced population 3,Unmanipulated,2010,4,Spring,2011,1,Winter,Individual,30.456944,-84.973611,Divided,NA,5,Shrub
