time_period_cover_change,experiment,Demo_trait,Comm_var,term,estimate,std.error,statistic,p.value,hypoth,model
T0-T1,DIST,FirstStepAtt,site_time_rich,Demo_value,0.042112514616188125,0.031310991538720294,1.3449754398263076,0.1816455300975393,H3,FirstStepAtt_site_time_rich_T0-T1_DIST
T0-T1,DIST,FirstStepAtt,site_time_rich,Comm_value,0.017901031652763244,0.028098556589300796,0.6370801146269376,0.5255141015538586,H3,FirstStepAtt_site_time_rich_T0-T1_DIST
T0-T1,DIST,FirstStepAtt,site_time_rich,Demo_value:Comm_value,0.015733494179491672,0.027704237190439213,0.5679093082888177,0.5713568983728285,H3,FirstStepAtt_site_time_rich_T0-T1_DIST
T0-T1,DIST,FirstStepAtt,site_time_simp,Demo_value,0.02771523569725495,0.0285982676535752,0.9691228864972924,0.3347989294878758,H3,FirstStepAtt_site_time_simp_T0-T1_DIST
T0-T1,DIST,FirstStepAtt,site_time_simp,Comm_value,0.02434367294705132,0.02683969037029012,0.9070027489586192,0.3665642315665889,H3,FirstStepAtt_site_time_simp_T0-T1_DIST
T0-T1,DIST,FirstStepAtt,site_time_simp,Demo_value:Comm_value,-0.013582521113449306,0.023892164613130592,-0.568492697643003,0.5709623176358644,H3,FirstStepAtt_site_time_simp_T0-T1_DIST
T0-T1,DIST,FirstStepAtt,site_time_shan,Demo_value,0.04199657012519818,0.028278051491590763,1.4851295584381756,0.14062405954408216,H3,FirstStepAtt_site_time_shan_T0-T1_DIST
T0-T1,DIST,FirstStepAtt,site_time_shan,Comm_value,0.041049398280373635,0.026406283192984242,1.554531471936946,0.12318573056003794,H3,FirstStepAtt_site_time_shan_T0-T1_DIST
T0-T1,DIST,FirstStepAtt,site_time_shan,Demo_value:Comm_value,0.019728445397252853,0.027017392988091707,0.7302127709342068,0.4669504944962489,H3,FirstStepAtt_site_time_shan_T0-T1_DIST
T0-T1,DIST,FirstStepAtt,site_time_invsimp,Demo_value,0.030167023857974533,0.027836378831397553,1.0837265881705909,0.2810163679585008,H3,FirstStepAtt_site_time_invsimp_T0-T1_DIST
T0-T1,DIST,FirstStepAtt,meanSigmas,Demo_value,0.013693160599704405,0.037277468501938665,0.3673307536693988,0.7143545254663897,H3,FirstStepAtt_meanSigmas_T0-T1_DIST
T0-T1,DIST,FirstStepAtt,meanSigmas,Comm_value,0.04970500958442852,0.03963607446134965,1.2540346202270205,0.2135274857606145,H3,FirstStepAtt_meanSigmas_T0-T1_DIST
T0-T1,DIST,FirstStepAtt,meanSigmas,Demo_value:Comm_value,-0.028550966886907638,0.018469703248047017,-1.5458270500326858,0.1261430887320983,H3,FirstStepAtt_meanSigmas_T0-T1_DIST
T0-T1,DIST,FirstStepAtt,sigmaonMeans,Demo_value,0.015222178722934725,0.03805256721613485,0.4000302696129342,0.6902138410778881,H3,FirstStepAtt_sigmaonMeans_T0-T1_DIST
T0-T1,DIST,FirstStepAtt,sigmaonMeans,Comm_value,0.04543756500563907,0.04222799430684023,1.0760057575900295,0.2851997962966997,H3,FirstStepAtt_sigmaonMeans_T0-T1_DIST
T0-T1,DIST,FirstStepAtt,sigmaonMeans,Demo_value:Comm_value,-0.026440666535779665,0.017736850137450876,-1.4907193966729706,0.1400173528402981,H3,FirstStepAtt_sigmaonMeans_T0-T1_DIST
T0-T1,DIST,FirstStepAtt,variability,Demo_value,0.008146536788000232,0.03449527249156515,0.23616386245368082,0.8139167422455317,H3,FirstStepAtt_variability_T0-T1_DIST
T0-T1,DIST,FirstStepAtt,variability,Comm_value,-0.002150618925340782,0.029344443500435406,-0.07328879572409923,0.9417615537868453,H3,FirstStepAtt_variability_T0-T1_DIST
T0-T1,DIST,FirstStepAtt,variability,Demo_value:Comm_value,0.010156038422798472,0.02619978967408136,0.38763816615083463,0.6993262838660363,H3,FirstStepAtt_variability_T0-T1_DIST
T0-T1,DIST,FirstStepAtt,mean_cover,Demo_value,0.03486805293483108,0.04476940567102255,0.7788366276526154,0.43789692007715497,H3,FirstStepAtt_mean_cover_T0-T1_DIST
T0-T1,DIST,FirstStepAtt,mean_cover,Comm_value,0.023343776020673387,0.026909018643089505,0.8675075197017001,0.3877204472404543,H3,FirstStepAtt_mean_cover_T0-T1_DIST
T0-T1,DIST,FirstStepAtt,mean_cover,Demo_value:Comm_value,0.001762756237902374,0.038549468852583126,0.04572712129039504,0.9636180369157765,H3,FirstStepAtt_mean_cover_T0-T1_DIST
T0-T1,DIST,Lambda,site_time_rich,Demo_value,-9.935323033090485e-4,0.030551440885150525,-0.03251998185761357,0.9741671469215554,H4,Lambda_site_time_rich_T0-T1_DIST
T0-T1,DIST,Lambda,site_time_rich,Comm_value,0.027433366630979564,0.032652306607449916,0.8401662694396113,0.4042070331642281,H4,Lambda_site_time_rich_T0-T1_DIST
T0-T1,DIST,Lambda,site_time_rich,Demo_value:Comm_value,-0.003361256863725585,0.04151576488042793,-0.08096338519611875,0.9357450938130045,H4,Lambda_site_time_rich_T0-T1_DIST
T0-T1,DIST,Lambda,site_time_simp,Demo_value,0.014056441043756586,0.028318034001102936,0.49637771616522225,0.6214722768807054,H4,Lambda_site_time_simp_T0-T1_DIST
T0-T1,DIST,Lambda,site_time_simp,Comm_value,0.06604054521318005,0.028007352816536612,2.35797169571082,0.021709398632807717,H4,Lambda_site_time_simp_T0-T1_DIST
