Taxon,Taxon_site,RE,RE_se,model,time_period_cover_change,experiment,ID,site_name,Demo_trait,Demo_value,New_demo_trait,hypoth,year_trt,site_time_rich,site_time_simp,site_time_shan,site_time_invsimp,meanSigmas,sigmaonMeans,variability,mean_cover,new_provenance
Agrimonia_eupatoria,Agrimonia_eupatoria_Lublin,-2.121,0.633,Ordbeta,T0-T1,DIST,1,Lublin,FirstStepAtt,2.3343019259834654,First step attenuation,H3,T0,0.9200782621397927,0.9604863427438979,1.1194775334878724,0,-0.4348762416097607,-0.6652760678718184,0.5867498761097362,0.2778387604157047,NAT
Agrimonia_eupatoria,Agrimonia_eupatoria_Lublin,-2.121,0.633,Ordbeta,T0-T1,DIST,1,Lublin,Lambda,-0.10656669035025709,Population growth rate,H4,T0,0.9200782621397927,0.9604863427438979,1.1194775334878724,0,-0.4348762416097607,-0.6652760678718184,0.5867498761097362,0.2778387604157047,NAT
Agrimonia_eupatoria,Agrimonia_eupatoria_Lublin,-2.121,0.633,Ordbeta,T0-T1,DIST,1,Lublin,R0,-0.5264557080408857,Net reproductive rate,H1,T0,0.9200782621397927,0.9604863427438979,1.1194775334878724,0,-0.4348762416097607,-0.6652760678718184,0.5867498761097362,0.2778387604157047,NAT
Agrimonia_eupatoria,Agrimonia_eupatoria_Lublin,-2.121,0.633,Ordbeta,T0-T1,DIST,1,Lublin,Reactivity,-0.6589856762149182,Reactivity,H3,T0,0.9200782621397927,0.9604863427438979,1.1194775334878724,0,-0.4348762416097607,-0.6652760678718184,0.5867498761097362,0.2778387604157047,NAT
Agrimonia_eupatoria,Agrimonia_eupatoria_Lublin,-2.121,0.633,Ordbeta,T0-T1,DIST,1,Lublin,T_generation,4.391663176946134,Generation time,H2,T0,0.9200782621397927,0.9604863427438979,1.1194775334878724,0,-0.4348762416097607,-0.6652760678718184,0.5867498761097362,0.2778387604157047,NAT
Agrimonia_eupatoria,Agrimonia_eupatoria_Lublin,-2.121,0.633,Ordbeta,T0-T1,DIST,1,Lublin,age_repro,1.7697949123951642,Age at first reproduction,H2,T0,0.9200782621397927,0.9604863427438979,1.1194775334878724,0,-0.4348762416097607,-0.6652760678718184,0.5867498761097362,0.2778387604157047,NAT
Agrimonia_eupatoria,Agrimonia_eupatoria_Lublin,-2.121,0.633,Ordbeta,T0-T1,DIST,1,Lublin,percapita_repro,-0.4706447535163626,Per capita reproduction,H1,T0,0.9200782621397927,0.9604863427438979,1.1194775334878724,0,-0.4348762416097607,-0.6652760678718184,0.5867498761097362,0.2778387604157047,NAT
Agrimonia_eupatoria,Agrimonia_eupatoria_Wytham Woods,-2.31,0.197,Ordbeta,T0-T1,DIST,1,Wytham Woods,FirstStepAtt,2.3343019259834654,First step attenuation,H3,T0,1.1385262951706692,0.9703437817001139,1.0760089899315513,0,-0.48678535534291734,-0.5976146616129729,0.41522666757088206,-0.12047087426531668,NAT
Agrimonia_eupatoria,Agrimonia_eupatoria_Wytham Woods,-2.31,0.197,Ordbeta,T0-T1,DIST,1,Wytham Woods,Lambda,-0.10656669035025709,Population growth rate,H4,T0,1.1385262951706692,0.9703437817001139,1.0760089899315513,0,-0.48678535534291734,-0.5976146616129729,0.41522666757088206,-0.12047087426531668,NAT
Agrimonia_eupatoria,Agrimonia_eupatoria_Wytham Woods,-2.31,0.197,Ordbeta,T0-T1,DIST,1,Wytham Woods,R0,-0.5264557080408857,Net reproductive rate,H1,T0,1.1385262951706692,0.9703437817001139,1.0760089899315513,0,-0.48678535534291734,-0.5976146616129729,0.41522666757088206,-0.12047087426531668,NAT
Agrimonia_eupatoria,Agrimonia_eupatoria_Wytham Woods,-2.31,0.197,Ordbeta,T0-T1,DIST,1,Wytham Woods,Reactivity,-0.6589856762149182,Reactivity,H3,T0,1.1385262951706692,0.9703437817001139,1.0760089899315513,0,-0.48678535534291734,-0.5976146616129729,0.41522666757088206,-0.12047087426531668,NAT
Agrimonia_eupatoria,Agrimonia_eupatoria_Wytham Woods,-2.31,0.197,Ordbeta,T0-T1,DIST,1,Wytham Woods,T_generation,4.391663176946134,Generation time,H2,T0,1.1385262951706692,0.9703437817001139,1.0760089899315513,0,-0.48678535534291734,-0.5976146616129729,0.41522666757088206,-0.12047087426531668,NAT
Agrimonia_eupatoria,Agrimonia_eupatoria_Wytham Woods,-2.31,0.197,Ordbeta,T0-T1,DIST,1,Wytham Woods,age_repro,1.7697949123951642,Age at first reproduction,H2,T0,1.1385262951706692,0.9703437817001139,1.0760089899315513,0,-0.48678535534291734,-0.5976146616129729,0.41522666757088206,-0.12047087426531668,NAT
Agrimonia_eupatoria,Agrimonia_eupatoria_Wytham Woods,-2.31,0.197,Ordbeta,T0-T1,DIST,1,Wytham Woods,percapita_repro,-0.4706447535163626,Per capita reproduction,H1,T0,1.1385262951706692,0.9703437817001139,1.0760089899315513,0,-0.48678535534291734,-0.5976146616129729,0.41522666757088206,-0.12047087426531668,NAT
Allium_vineale,Allium_vineale_Blandy Experimental Farm,-3.038,0.342,Ordbeta,T0-T1,DIST,1,Blandy Experimental Farm,FirstStepAtt,-0.14304657203922302,First step attenuation,H3,T0,-0.9211265876918799,-0.9121998324506817,-1.444734176104233,0,0.7318735048799031,1.120081927705361,-1.1236658654167908,-0.23930332157524994,INT
Allium_vineale,Allium_vineale_Blandy Experimental Farm,-3.038,0.342,Ordbeta,T0-T1,DIST,1,Blandy Experimental Farm,Lambda,0.36286125690224547,Population growth rate,H4,T0,-0.9211265876918799,-0.9121998324506817,-1.444734176104233,0,0.7318735048799031,1.120081927705361,-1.1236658654167908,-0.23930332157524994,INT
Allium_vineale,Allium_vineale_Blandy Experimental Farm,-3.038,0.342,Ordbeta,T0-T1,DIST,1,Blandy Experimental Farm,R0,-0.5363791774498088,Net reproductive rate,H1,T0,-0.9211265876918799,-0.9121998324506817,-1.444734176104233,0,0.7318735048799031,1.120081927705361,-1.1236658654167908,-0.23930332157524994,INT
