site_name,site_code,New_taxon,block,trt,year_trt,max_cover,year
Cary IES,cary_dn.us,Acer_saccharum,1,Control,T2,1,2024
Cary IES,cary_dn.us,Acer_saccharum,1,Disturbance,T2,1,2024
Bad Lauchstaedt,badlau_dn.de,Achillea_millefolium,2,Control,T0,6,2021
Bad Lauchstaedt,badlau_dn.de,Achillea_millefolium,3,Disturbance,T0,10,2021
Bad Lauchstaedt,badlau_dn.de,Achillea_millefolium,3,NPK,T0,1,2021
Bad Lauchstaedt,badlau_dn.de,Achillea_millefolium,2,Control,T1,4,2022
Bad Lauchstaedt,badlau_dn.de,Achillea_millefolium,3,Disturbance,T1,3,2022
Bad Lauchstaedt,badlau_dn.de,Achillea_millefolium,3,NPK,T1,0.5,2022
Bad Lauchstaedt,badlau_dn.de,Achillea_millefolium,2,Control,T2,14,2023
Bad Lauchstaedt,badlau_dn.de,Achillea_millefolium,3,Disturbance,T2,1,2023
Bad Lauchstaedt,badlau_dn.de,Achillea_millefolium,2,Control,T3,8,2024
Bad Lauchstaedt,badlau_dn.de,Achillea_millefolium,3,NPK,T3,0.5,2024
Bayreuth DRAGNet,bayr_dn.de,Achillea_millefolium,5,Control,T0,2,2020
Bayreuth DRAGNet,bayr_dn.de,Achillea_millefolium,5,Control,T1,1,2021
Bayreuth DRAGNet,bayr_dn.de,Achillea_millefolium,5,Control,T2,2,2022
Bayreuth DRAGNet,bayr_dn.de,Achillea_millefolium,1,Disturbance,T3,0.1,2023
Bayreuth DRAGNet,bayr_dn.de,Achillea_millefolium,5,Control,T3,0.1,2023
Cary IES,cary_dn.us,Achillea_millefolium,1,Disturbance,T0,2,2022
Cary IES,cary_dn.us,Achillea_millefolium,1,NPK,T0,20,2022
Cary IES,cary_dn.us,Achillea_millefolium,2,NPK,T0,2,2022
Cary IES,cary_dn.us,Achillea_millefolium,3,NPK,T0,3,2022
Cary IES,cary_dn.us,Achillea_millefolium,1,Disturbance,T1,10,2023
Cary IES,cary_dn.us,Achillea_millefolium,1,NPK,T1,10,2023
Cary IES,cary_dn.us,Achillea_millefolium,2,Control,T1,5,2023
Cary IES,cary_dn.us,Achillea_millefolium,2,NPK,T1,3,2023
Cary IES,cary_dn.us,Achillea_millefolium,3,Disturbance,T1,2,2023
Cary IES,cary_dn.us,Achillea_millefolium,3,NPK,T1,1,2023
Cary IES,cary_dn.us,Achillea_millefolium,4,Disturbance,T1,1,2023
Cary IES,cary_dn.us,Achillea_millefolium,5,Disturbance,T1,4,2023
Cary IES,cary_dn.us,Achillea_millefolium,1,Disturbance,T2,5,2024
Cary IES,cary_dn.us,Achillea_millefolium,1,NPK,T2,3,2024
Cary IES,cary_dn.us,Achillea_millefolium,2,Disturbance,T2,2,2024
Cary IES,cary_dn.us,Achillea_millefolium,2,Control,T2,1,2024
Cary IES,cary_dn.us,Achillea_millefolium,3,NPK,T2,5,2024
Cary IES,cary_dn.us,Achillea_millefolium,3,Control,T2,10,2024
Cary IES,cary_dn.us,Achillea_millefolium,4,Disturbance,T2,6,2024
Cary IES,cary_dn.us,Achillea_millefolium,5,Disturbance,T2,3,2024
CEREEP - Ecotron IDF,cereep_dn.fr,Achillea_millefolium,2,Control,T2,3,2023
CEREEP - Ecotron IDF,cereep_dn.fr,Achillea_millefolium,3,NPK,T2,1,2023
CEREEP - Ecotron IDF,cereep_dn.fr,Achillea_millefolium,2,Control,T3,3,2024
CEREEP - Ecotron IDF,cereep_dn.fr,Achillea_millefolium,3,NPK,T3,2,2024
