site_name,year_trt,trt,mean_cover,experiment
Agroscope Changins,T0,Control,41.06206896551724,CONTROL
Agroscope Changins,T0,Disturbance,44.696296296296296,DIST
Agroscope Changins,T0,NPK,47.855555555555554,NPK
Ainsdale Dune Slacks,T0,Control,2.428571428571429,CONTROL
Ainsdale Dune Slacks,T0,Disturbance,1.7333333333333334,DIST
Algaida,T0,Control,3.5714285714285716,CONTROL
Algaida,T0,Disturbance,5.5,DIST
Algaida,T0,NPK,8.25,NPK
Bad Lauchstaedt,T0,Control,43.2,CONTROL
Bad Lauchstaedt,T0,Disturbance,42.625,DIST
Bad Lauchstaedt,T0,NPK,37.266666666666666,NPK
Bayreuth DRAGNet,T0,Control,40,CONTROL
Bayreuth DRAGNet,T0,Disturbance,32.458333333333336,DIST
Bayreuth DRAGNet,T0,NPK,38.44444444444444,NPK
Bladen Lakes State Forest,T0,Control,3,CONTROL
Bladen Lakes State Forest,T0,Disturbance,0,DIST
Blandy Experimental Farm,T0,Control,12.714285714285714,CONTROL
Blandy Experimental Farm,T0,Disturbance,25.583333333333332,DIST
Blandy Experimental Farm,T0,NPK,3.166666666666667,NPK
Caracoles,T0,Control,1,CONTROL
Caracoles,T0,Disturbance,2.5,DIST
Caracoles,T0,NPK,25,NPK
Cary IES,T0,Control,11.857142857142858,CONTROL
Cary IES,T0,Disturbance,24.357142857142854,DIST
Cary IES,T0,NPK,23.615384615384617,NPK
Cass,T0,Control,3.5,CONTROL
Cass,T0,Disturbance,1.1,DIST
Cass,T0,NPK,3.433333333333333,NPK
Castellanos,T0,Control,1,CONTROL
Castellanos,T0,Disturbance,0,DIST
Cedar Creek LTER,T0,Control,13.5,CONTROL
Cedar Creek LTER,T0,Disturbance,28,DIST
Cedar Creek LTER,T0,NPK,17.5,NPK
Churning Rapids,T0,Control,14.875,CONTROL
Churning Rapids,T0,Disturbance,20.4,DIST
Churning Rapids,T0,NPK,22.071428571428573,NPK
Domaninek,T0,Control,0.25,CONTROL
Domaninek,T0,Disturbance,6.833333333333334,DIST
Domaninek,T0,NPK,5.666666666666667,NPK
GCE LTER - Sapelo Island,T0,Control,94,CONTROL
GCE LTER - Sapelo Island,T0,Disturbance,92.5,DIST
GCE LTER - Sapelo Island,T0,NPK,94.16666666666667,NPK
Hazelrigg,T0,Control,26,CONTROL
Hazelrigg,T0,Disturbance,21.333333333333332,DIST
Hazelrigg,T0,NPK,20.375,NPK
Hulun Buir,T0,Control,3.857142857142857,CONTROL
Hulun Buir,T0,Disturbance,11,DIST
Hulun Buir,T0,NPK,5.166666666666666,NPK
Izaak Walton League of America (IWLA),T0,Control,16.666666666666668,CONTROL
Izaak Walton League of America (IWLA),T0,Disturbance,4.666666666666667,DIST
Izaak Walton League of America (IWLA),T0,NPK,21.6,NPK
Jena,T0,Control,92.78947368421052,CONTROL
Jena,T0,Disturbance,89.33333333333333,DIST
Jena,T0,NPK,87.05882352941177,NPK
Kellogg Biological Station (KBS),T0,Control,99.54545454545455,CONTROL
Kellogg Biological Station (KBS),T0,Disturbance,87.3529411764706,DIST
Kellogg Biological Station (KBS),T0,NPK,103.21428571428571,NPK
Kniezenberg,T0,Control,1,CONTROL
Kniezenberg,T0,Disturbance,2.3333333333333335,DIST
Kniezenberg,T0,NPK,0.2857142857142857,NPK
Konza LTER DRAGNet,T0,Control,4.166666666666667,CONTROL
Konza LTER DRAGNet,T0,Disturbance,2.5,DIST
Konza LTER DRAGNet,T0,NPK,6.833333333333333,NPK
LSU Botanical Garden,T0,Disturbance,0,DIST
LSU Botanical Garden,T0,NPK,1,NPK
Ladybird Johnson Wildflower Center,T0,Control,2.8,CONTROL
Ladybird Johnson Wildflower Center,T0,Disturbance,1.1666666666666667,DIST
Ladybird Johnson Wildflower Center,T0,NPK,1.3333333333333333,NPK
Lublin,T0,Control,57.785714285714285,CONTROL
Lublin,T0,Disturbance,39.68421052631579,DIST
Lublin,T0,NPK,76.03846153846153,NPK
Meranges,T0,Control,23.647058823529413,CONTROL
Meranges,T0,Disturbance,15.571428571428571,DIST
Meranges,T0,NPK,46.6,NPK
Millville,T0,Control,6.4,CONTROL
Millville,T0,Disturbance,8.666666666666666,DIST
Millville,T0,NPK,3.3333333333333335,NPK
Morella la Vella,T0,Control,4,CONTROL
Morella la Vella,T0,Disturbance,1.5,DIST
Morella la Vella,T0,NPK,8,NPK
Nillahcootie,T0,Control,34.714285714285715,CONTROL
Nillahcootie,T0,Disturbance,19.928571428571427,DIST
Nillahcootie,T0,NPK,41.785714285714285,NPK
Oak Lake Field Station,T0,Control,1.7142857142857142,CONTROL
Oak Lake Field Station,T0,Disturbance,1,DIST
Oak Lake Field Station,T0,NPK,1,NPK
Piedmont Prairie,T0,Control,1,CONTROL
Piedmont Prairie,T0,Disturbance,0.5285714285714286,DIST
Piedmont Prairie,T0,NPK,0.175,NPK
Potrok Aike,T0,Control,1,CONTROL
Potrok Aike,T0,Disturbance,1,DIST
Potrok Aike,T0,NPK,2,NPK
Saihanba,T0,Control,0.25,CONTROL
Saihanba,T0,NPK,0.75,NPK
San Claudio,T0,Disturbance,0,DIST
San Claudio,T0,NPK,5,NPK
Sandflats,T0,Control,1.1666666666666667,CONTROL
Sandflats,T0,Disturbance,2.6,DIST
Sandflats,T0,NPK,1.3333333333333333,NPK
Shortgrass Steppe LTER,T0,Control,9,CONTROL
Shortgrass Steppe LTER,T0,Disturbance,7.666666666666667,DIST
Shortgrass Steppe LTER,T0,NPK,1,NPK
Stoderzinken,T0,Control,4.818181818181818,CONTROL
Stoderzinken,T0,Disturbance,5.818181818181818,DIST
Temple,T0,Control,10.333333333333334,CONTROL
Temple,T0,Disturbance,24.6,DIST
Temple,T0,NPK,10,NPK
Ukulinga,T0,Control,58,CONTROL
Ukulinga,T0,Disturbance,38.333333333333336,DIST
Ukulinga,T0,NPK,33,NPK
University of Michigan Biological Station,T0,Control,18.75,CONTROL
University of Michigan Biological Station,T0,Disturbance,36,DIST
University of Michigan Biological Station,T0,NPK,40,NPK
University of Wyoming - SAREC,T0,Control,0.5,CONTROL
University of Wyoming - SAREC,T0,NPK,0.5,NPK
WSL,T0,Control,10.142857142857142,CONTROL
WSL,T0,Disturbance,9.2,DIST
WSL,T0,NPK,5.25,NPK
Wallula Gap Biological Station-North Face,T0,Control,12.6,CONTROL
Wallula Gap Biological Station-North Face,T0,Disturbance,0.6666666666666666,DIST
Wallula Gap Biological Station-North Face,T0,NPK,0.75,NPK
Wallula Gap Biological Station-South Face,T0,Control,6.2,CONTROL
Wallula Gap Biological Station-South Face,T0,Disturbance,4.571428571428571,DIST
Wallula Gap Biological Station-South Face,T0,NPK,4.6,NPK
Wytham Woods,T0,Control,26.516129032258064,CONTROL
Wytham Woods,T0,Disturbance,28.823529411764707,DIST
Wytham Woods,T0,NPK,40.51724137931034,NPK
